59,0
x,y,dx,dy,x_c,y_c
230.00,243.00,60.00,60.00,260.00,273.00
218.00,243.00,60.00,60.00,248.00,273.00
206.00,230.00,60.00,60.00,236.00,260.00
243.00,243.00,60.00,60.00,273.00,273.00
255.00,243.00,60.00,60.00,285.00,273.00
230.00,218.00,60.00,60.00,260.00,248.00
230.00,206.00,60.00,60.00,260.00,236.00
230.00,182.00,60.00,60.00,260.00,212.00
230.00,170.00,60.00,60.00,260.00,200.00
194.00,170.00,60.00,60.00,224.00,200.00
194.00,170.00,60.00,60.00,224.00,200.00
194.00,170.00,60.00,60.00,224.00,200.00
182.00,158.00,60.00,60.00,212.00,188.00
170.00,158.00,60.00,60.00,200.00,188.00
158.00,158.00,60.00,60.00,188.00,188.00
133.00,133.00,60.00,60.00,163.00,163.00
146.00,121.00,60.00,60.00,176.00,151.00
158.00,121.00,60.00,60.00,188.00,151.00
182.00,133.00,60.00,60.00,212.00,163.00
194.00,133.00,60.00,60.00,224.00,163.00
267.00,170.00,60.00,60.00,297.00,200.00
279.00,182.00,60.00,60.00,309.00,212.00
279.00,182.00,60.00,60.00,309.00,212.00
279.00,170.00,60.00,60.00,309.00,200.00
291.00,170.00,60.00,60.00,321.00,200.00
303.00,170.00,60.00,60.00,333.00,200.00
327.00,146.00,60.00,60.00,357.00,176.00
315.00,133.00,60.00,60.00,345.00,163.00
291.00,133.00,60.00,60.00,321.00,163.00
279.00,133.00,60.00,60.00,309.00,163.00
255.00,133.00,60.00,60.00,285.00,163.00
230.00,255.00,60.00,60.00,260.00,285.00
206.00,255.00,60.00,60.00,236.00,285.00
182.00,267.00,60.00,60.00,212.00,297.00
170.00,291.00,60.00,60.00,200.00,321.00
182.00,279.00,60.00,60.00,212.00,309.00
206.00,267.00,60.00,60.00,236.00,297.00
230.00,267.00,60.00,60.00,260.00,297.00
255.00,243.00,60.00,60.00,285.00,273.00
279.00,255.00,60.00,60.00,309.00,285.00
291.00,267.00,60.00,60.00,321.00,297.00
279.00,255.00,60.00,60.00,309.00,285.00
267.00,255.00,60.00,60.00,297.00,285.00
279.00,291.00,60.00,60.00,309.00,321.00
255.00,291.00,60.00,60.00,285.00,321.00
255.00,315.00,60.00,60.00,285.00,345.00
230.00,303.00,60.00,60.00,260.00,333.00
206.00,315.00,60.00,60.00,236.00,345.00
206.00,291.00,60.00,60.00,236.00,321.00
194.00,303.00,60.00,60.00,224.00,333.00
230.00,315.00,60.00,60.00,260.00,345.00
230.00,388.00,60.00,60.00,260.00,418.00
194.00,376.00,60.00,60.00,224.00,406.00
170.00,364.00,60.00,60.00,200.00,394.00
133.00,340.00,60.00,60.00,163.00,370.00
109.00,315.00,60.00,60.00,139.00,345.00
97.00,291.00,60.00,60.00,127.00,321.00
85.00,267.00,60.00,60.00,115.00,297.00
73.00,218.00,60.00,60.00,103.00,248.00
73.00,182.00,60.00,60.00,103.00,212.00
255.00,376.00,60.00,60.00,285.00,406.00
279.00,352.00,60.00,60.00,309.00,382.00
291.00,340.00,60.00,60.00,321.00,370.00
303.00,315.00,60.00,60.00,333.00,345.00
315.00,291.00,60.00,60.00,345.00,321.00
327.00,267.00,60.00,60.00,357.00,297.00
340.00,230.00,60.00,60.00,370.00,260.00
340.00,206.00,60.00,60.00,370.00,236.00
