116,0
x,y,dx,dy,x_c,y_c
218.00,255.00,60.00,60.00,248.00,285.00
206.00,255.00,60.00,60.00,236.00,285.00
194.00,243.00,60.00,60.00,224.00,273.00
230.00,243.00,60.00,60.00,260.00,273.00
230.00,243.00,60.00,60.00,260.00,273.00
218.00,230.00,60.00,60.00,248.00,260.00
218.00,218.00,60.00,60.00,248.00,248.00
218.00,194.00,60.00,60.00,248.00,224.00
218.00,182.00,60.00,60.00,248.00,212.00
182.00,182.00,60.00,60.00,212.00,212.00
182.00,182.00,60.00,60.00,212.00,212.00
170.00,194.00,60.00,60.00,200.00,224.00
170.00,182.00,60.00,60.00,200.00,212.00
170.00,182.00,60.00,60.00,200.00,212.00
158.00,182.00,60.00,60.00,188.00,212.00
133.00,158.00,60.00,60.00,163.00,188.00
146.00,146.00,60.00,60.00,176.00,176.00
158.00,133.00,60.00,60.00,188.00,163.00
182.00,133.00,60.00,60.00,212.00,163.00
194.00,146.00,60.00,60.00,224.00,176.00
243.00,182.00,60.00,60.00,273.00,212.00
255.00,182.00,60.00,60.00,285.00,212.00
255.00,182.00,60.00,60.00,285.00,212.00
243.00,170.00,60.00,60.00,273.00,200.00
255.00,170.00,60.00,60.00,285.00,200.00
267.00,170.00,60.00,60.00,297.00,200.00
291.00,146.00,60.00,60.00,321.00,176.00
279.00,146.00,60.00,60.00,309.00,176.00
267.00,133.00,60.00,60.00,297.00,163.00
243.00,133.00,60.00,60.00,273.00,163.00
218.00,133.00,60.00,60.00,248.00,163.00
218.00,267.00,60.00,60.00,248.00,297.00
206.00,267.00,60.00,60.00,236.00,297.00
194.00,267.00,60.00,60.00,224.00,297.00
170.00,279.00,60.00,60.00,200.00,309.00
182.00,279.00,60.00,60.00,212.00,309.00
206.00,279.00,60.00,60.00,236.00,309.00
218.00,279.00,60.00,60.00,248.00,309.00
243.00,255.00,60.00,60.00,273.00,285.00
255.00,267.00,60.00,60.00,285.00,297.00
267.00,267.00,60.00,60.00,297.00,297.00
255.00,267.00,60.00,60.00,285.00,297.00
243.00,267.00,60.00,60.00,273.00,297.00
255.00,291.00,60.00,60.00,285.00,321.00
243.00,279.00,60.00,60.00,273.00,309.00
243.00,291.00,60.00,60.00,273.00,321.00
218.00,279.00,60.00,60.00,248.00,309.00
194.00,291.00,60.00,60.00,224.00,321.00
194.00,279.00,60.00,60.00,224.00,309.00
182.00,291.00,60.00,60.00,212.00,321.00
218.00,291.00,60.00,60.00,248.00,321.00
218.00,352.00,60.00,60.00,248.00,382.00
194.00,352.00,60.00,60.00,224.00,382.00
170.00,340.00,60.00,60.00,200.00,370.00
146.00,327.00,60.00,60.00,176.00,357.00
133.00,303.00,60.00,60.00,163.00,333.00
121.00,267.00,60.00,60.00,151.00,297.00
109.00,243.00,60.00,60.00,139.00,273.00
97.00,206.00,60.00,60.00,127.00,236.00
97.00,182.00,60.00,60.00,127.00,212.00
243.00,340.00,60.00,60.00,273.00,370.00
267.00,327.00,60.00,60.00,297.00,357.00
291.00,303.00,60.00,60.00,321.00,333.00
303.00,267.00,60.00,60.00,333.00,297.00
315.00,255.00,60.00,60.00,345.00,285.00
315.00,230.00,60.00,60.00,345.00,260.00
327.00,194.00,60.00,60.00,357.00,224.00
327.00,170.00,60.00,60.00,357.00,200.00
