113,-30
x,y,dx,dy,x_c,y_c
289.33,304.62,75.34,75.34,327.00,342.28
289.33,304.62,75.34,75.34,327.00,342.28
274.05,304.62,75.34,75.34,311.71,342.28
304.62,304.62,75.34,75.34,342.28,342.28
319.90,304.62,75.34,75.34,357.57,342.28
304.62,274.05,75.34,75.34,342.28,311.71
304.62,258.76,75.34,75.34,342.28,296.43
289.33,228.19,75.34,75.34,327.00,265.86
289.33,212.90,75.34,75.34,327.00,250.57
243.48,212.90,75.34,75.34,281.14,250.57
228.19,212.90,75.34,75.34,265.86,250.57
212.90,212.90,75.34,75.34,250.57,250.57
228.19,197.62,75.34,75.34,265.86,235.29
212.90,182.33,75.34,75.34,250.57,220.00
197.62,197.62,75.34,75.34,235.29,235.29
167.05,167.05,75.34,75.34,204.72,204.72
182.33,151.76,75.34,75.34,220.00,189.43
212.90,136.48,75.34,75.34,250.57,174.14
228.19,151.76,75.34,75.34,265.86,189.43
243.48,151.76,75.34,75.34,281.14,189.43
319.90,212.90,75.34,75.34,357.57,250.57
334.10,212.90,75.34,75.34,371.76,250.57
334.10,212.90,75.34,75.34,371.76,250.57
334.10,197.62,75.34,75.34,371.76,235.29
334.10,197.62,75.34,75.34,371.76,235.29
334.10,212.90,75.34,75.34,371.76,250.57
334.10,167.05,75.34,75.34,371.76,204.72
334.10,167.05,75.34,75.34,371.76,204.72
319.90,167.05,75.34,75.34,357.57,204.72
319.90,167.05,75.34,75.34,357.57,204.72
304.62,167.05,75.34,75.34,342.28,204.72
289.33,334.10,75.34,75.34,327.00,371.76
274.05,334.10,75.34,75.34,311.71,371.76
258.76,349.38,75.34,75.34,296.43,387.05
228.19,349.38,75.34,75.34,265.86,387.05
274.05,364.67,75.34,75.34,311.71,402.33
274.05,349.38,75.34,75.34,311.71,387.05
289.33,334.10,75.34,75.34,327.00,371.76
304.62,334.10,75.34,75.34,342.28,371.76
304.62,349.38,75.34,75.34,342.28,387.05
319.90,364.67,75.34,75.34,357.57,402.33
304.62,349.38,75.34,75.34,342.28,387.05
304.62,349.38,75.34,75.34,342.28,387.05
319.90,379.95,75.34,75.34,357.57,417.62
304.62,364.67,75.34,75.34,342.28,402.33
304.62,379.95,75.34,75.34,342.28,417.62
289.33,364.67,75.34,75.34,327.00,402.33
274.05,379.95,75.34,75.34,311.71,417.62
289.33,364.67,75.34,75.34,327.00,402.33
274.05,379.95,75.34,75.34,311.71,417.62
289.33,379.95,75.34,75.34,327.00,417.62
289.33,456.38,75.34,75.34,327.00,494.05
243.48,456.38,75.34,75.34,281.14,494.05
197.62,441.09,75.34,75.34,235.29,478.76
151.76,425.81,75.34,75.34,189.43,463.48
121.19,410.52,75.34,75.34,158.86,448.19
91.71,379.95,75.34,75.34,129.38,417.62
76.43,334.10,75.34,75.34,114.09,371.76
76.43,304.62,75.34,75.34,114.09,342.28
61.14,258.76,75.34,75.34,98.81,296.43
319.90,441.09,75.34,75.34,357.57,478.76
334.10,425.81,75.34,75.34,371.76,463.48
334.10,395.24,75.34,75.34,371.76,432.91
349.38,364.67,75.34,75.34,387.05,402.33
364.67,349.38,75.34,75.34,402.33,387.05
379.95,319.90,75.34,75.34,417.62,357.57
379.95,289.33,75.34,75.34,417.62,327.00
379.95,258.76,75.34,75.34,417.62,296.43
