100,0
x,y,dx,dy,x_c,y_c
144.00,168.00,39.00,39.00,163.50,187.50
136.00,168.00,39.00,39.00,155.50,187.50
128.00,160.00,39.00,39.00,147.50,179.50
152.00,168.00,39.00,39.00,171.50,187.50
160.00,168.00,39.00,39.00,179.50,187.50
144.00,152.00,39.00,39.00,163.50,171.50
144.00,144.00,39.00,39.00,163.50,163.50
144.00,128.00,39.00,39.00,163.50,147.50
144.00,120.00,39.00,39.00,163.50,139.50
120.00,120.00,39.00,39.00,139.50,139.50
120.00,120.00,39.00,39.00,139.50,139.50
112.00,120.00,39.00,39.00,131.50,139.50
112.00,112.00,39.00,39.00,131.50,131.50
104.00,112.00,39.00,39.00,123.50,131.50
96.00,120.00,39.00,39.00,115.50,139.50
72.00,104.00,39.00,39.00,91.50,123.50
80.00,96.00,39.00,39.00,99.50,115.50
96.00,88.00,39.00,39.00,115.50,107.50
112.00,96.00,39.00,39.00,131.50,115.50
120.00,104.00,39.00,39.00,139.50,123.50
160.00,120.00,39.00,39.00,179.50,139.50
168.00,120.00,39.00,39.00,187.50,139.50
176.00,120.00,39.00,39.00,195.50,139.50
168.00,112.00,39.00,39.00,187.50,131.50
176.00,112.00,39.00,39.00,195.50,131.50
184.00,112.00,39.00,39.00,203.50,131.50
200.00,96.00,39.00,39.00,219.50,115.50
192.00,88.00,39.00,39.00,211.50,107.50
176.00,88.00,39.00,39.00,195.50,107.50
168.00,88.00,39.00,39.00,187.50,107.50
152.00,96.00,39.00,39.00,171.50,115.50
144.00,184.00,39.00,39.00,163.50,203.50
136.00,176.00,39.00,39.00,155.50,195.50
128.00,184.00,39.00,39.00,147.50,203.50
120.00,192.00,39.00,39.00,139.50,211.50
128.00,200.00,39.00,39.00,147.50,219.50
136.00,184.00,39.00,39.00,155.50,203.50
144.00,192.00,39.00,39.00,163.50,211.50
160.00,176.00,39.00,39.00,179.50,195.50
168.00,184.00,39.00,39.00,187.50,203.50
176.00,192.00,39.00,39.00,195.50,211.50
168.00,184.00,39.00,39.00,187.50,203.50
168.00,184.00,39.00,39.00,187.50,203.50
168.00,208.00,39.00,39.00,187.50,227.50
160.00,200.00,39.00,39.00,179.50,219.50
160.00,216.00,39.00,39.00,179.50,235.50
144.00,208.00,39.00,39.00,163.50,227.50
128.00,216.00,39.00,39.00,147.50,235.50
128.00,200.00,39.00,39.00,147.50,219.50
120.00,208.00,39.00,39.00,139.50,227.50
144.00,216.00,39.00,39.00,163.50,235.50
144.00,256.00,39.00,39.00,163.50,275.50
128.00,256.00,39.00,39.00,147.50,275.50
112.00,240.00,39.00,39.00,131.50,259.50
96.00,224.00,39.00,39.00,115.50,243.50
88.00,208.00,39.00,39.00,107.50,227.50
80.00,192.00,39.00,39.00,99.50,211.50
80.00,176.00,39.00,39.00,99.50,195.50
72.00,152.00,39.00,39.00,91.50,171.50
72.00,136.00,39.00,39.00,91.50,155.50
160.00,248.00,39.00,39.00,179.50,267.50
176.00,240.00,39.00,39.00,195.50,259.50
192.00,224.00,39.00,39.00,211.50,243.50
200.00,200.00,39.00,39.00,219.50,219.50
200.00,176.00,39.00,39.00,219.50,195.50
208.00,152.00,39.00,39.00,227.50,171.50
216.00,128.00,39.00,39.00,235.50,147.50
216.00,104.00,39.00,39.00,235.50,123.50
