59,30
x,y,dx,dy,x_c,y_c
211.81,265.31,65.51,65.51,244.57,298.07
211.81,265.31,65.51,65.51,244.57,298.07
198.71,251.12,65.51,65.51,231.47,283.87
211.81,265.31,65.51,65.51,244.57,298.07
224.91,265.31,65.51,65.51,257.67,298.07
198.71,238.02,65.51,65.51,231.47,270.77
198.71,224.91,65.51,65.51,231.47,257.67
211.81,198.71,65.51,65.51,244.57,231.47
224.91,172.51,65.51,65.51,257.67,205.26
198.71,172.51,65.51,65.51,231.47,205.26
198.71,185.61,65.51,65.51,231.47,218.36
185.61,185.61,65.51,65.51,218.36,218.36
198.71,172.51,65.51,65.51,231.47,205.26
198.71,172.51,65.51,65.51,231.47,205.26
198.71,185.61,65.51,65.51,231.47,218.36
185.61,145.21,65.51,65.51,218.36,177.97
185.61,145.21,65.51,65.51,218.36,177.97
185.61,145.21,65.51,65.51,218.36,177.97
198.71,145.21,65.51,65.51,231.47,177.97
198.71,145.21,65.51,65.51,231.47,177.97
265.31,172.51,65.51,65.51,298.07,205.26
278.41,185.61,65.51,65.51,311.17,218.36
291.52,185.61,65.51,65.51,324.27,218.36
278.41,172.51,65.51,65.51,311.17,205.26
291.52,172.51,65.51,65.51,324.27,205.26
304.62,172.51,65.51,65.51,337.37,205.26
343.92,145.21,65.51,65.51,376.68,177.97
317.72,132.11,65.51,65.51,350.47,164.86
291.52,132.11,65.51,65.51,324.27,164.86
265.31,132.11,65.51,65.51,298.07,164.86
238.02,132.11,65.51,65.51,270.77,164.86
211.81,278.41,65.51,65.51,244.57,311.17
211.81,278.41,65.51,65.51,244.57,311.17
198.71,278.41,65.51,65.51,231.47,311.17
198.71,291.52,65.51,65.51,231.47,324.27
198.71,291.52,65.51,65.51,231.47,324.27
211.81,278.41,65.51,65.51,244.57,311.17
211.81,278.41,65.51,65.51,244.57,311.17
224.91,278.41,65.51,65.51,257.67,311.17
238.02,278.41,65.51,65.51,270.77,311.17
251.12,278.41,65.51,65.51,283.87,311.17
238.02,278.41,65.51,65.51,270.77,311.17
224.91,278.41,65.51,65.51,257.67,311.17
251.12,291.52,65.51,65.51,283.87,324.27
224.91,278.41,65.51,65.51,257.67,311.17
238.02,291.52,65.51,65.51,270.77,324.27
224.91,278.41,65.51,65.51,257.67,311.17
211.81,291.52,65.51,65.51,244.57,324.27
211.81,278.41,65.51,65.51,244.57,311.17
198.71,291.52,65.51,65.51,231.47,324.27
224.91,291.52,65.51,65.51,257.67,324.27
238.02,357.02,65.51,65.51,270.77,389.78
211.81,343.92,65.51,65.51,244.57,376.68
198.71,330.82,65.51,65.51,231.47,363.58
198.71,317.72,65.51,65.51,231.47,350.47
172.51,304.62,65.51,65.51,205.26,337.37
172.51,278.41,65.51,65.51,205.26,311.17
172.51,265.31,65.51,65.51,205.26,298.07
159.41,251.12,65.51,65.51,192.16,283.87
159.41,238.02,65.51,65.51,192.16,270.77
265.31,343.92,65.51,65.51,298.07,376.68
304.62,317.72,65.51,65.51,337.37,350.47
330.82,291.52,65.51,65.51,363.58,324.27
357.02,265.31,65.51,65.51,389.78,298.07
384.32,251.12,65.51,65.51,417.07,283.87
397.42,224.91,65.51,65.51,430.18,257.67
410.52,185.61,65.51,65.51,443.28,218.36
423.63,159.41,65.51,65.51,456.38,192.16
