100,15
x,y,dx,dy,x_c,y_c
230.10,302.32,71.20,71.20,265.69,337.92
230.10,315.74,71.20,71.20,265.69,351.33
215.65,315.74,71.20,71.20,251.25,351.33
244.54,302.32,71.20,71.20,280.14,337.92
258.99,302.32,71.20,71.20,294.58,337.92
215.65,258.99,71.20,71.20,251.25,294.58
215.65,244.54,71.20,71.20,251.25,280.14
215.65,230.10,71.20,71.20,251.25,265.69
215.65,201.20,71.20,71.20,251.25,236.80
186.76,186.76,71.20,71.20,222.36,222.36
172.31,186.76,71.20,71.20,207.91,222.36
157.87,186.76,71.20,71.20,193.47,222.36
172.31,172.31,71.20,71.20,207.91,207.91
157.87,172.31,71.20,71.20,193.47,207.91
143.42,186.76,71.20,71.20,179.02,222.36
114.53,157.87,71.20,71.20,150.13,193.47
128.98,143.42,71.20,71.20,164.57,179.02
143.42,143.42,71.20,71.20,179.02,179.02
157.87,143.42,71.20,71.20,193.47,179.02
172.31,157.87,71.20,71.20,207.91,193.47
273.43,201.20,71.20,71.20,309.03,236.80
287.88,201.20,71.20,71.20,323.47,236.80
302.32,201.20,71.20,71.20,337.92,236.80
287.88,186.76,71.20,71.20,323.47,222.36
302.32,186.76,71.20,71.20,337.92,222.36
315.74,201.20,71.20,71.20,351.33,236.80
359.07,186.76,71.20,71.20,394.67,222.36
344.63,157.87,71.20,71.20,380.22,193.47
315.74,157.87,71.20,71.20,351.33,193.47
287.88,157.87,71.20,71.20,323.47,193.47
258.99,157.87,71.20,71.20,294.58,193.47
230.10,315.74,71.20,71.20,265.69,351.33
215.65,315.74,71.20,71.20,251.25,351.33
201.20,315.74,71.20,71.20,236.80,351.33
186.76,330.18,71.20,71.20,222.36,365.78
201.20,330.18,71.20,71.20,236.80,365.78
215.65,330.18,71.20,71.20,251.25,365.78
230.10,330.18,71.20,71.20,265.69,365.78
258.99,315.74,71.20,71.20,294.58,351.33
273.43,315.74,71.20,71.20,309.03,351.33
302.32,330.18,71.20,71.20,337.92,365.78
273.43,330.18,71.20,71.20,309.03,365.78
258.99,330.18,71.20,71.20,294.58,365.78
287.88,344.63,71.20,71.20,323.47,380.22
258.99,330.18,71.20,71.20,294.58,365.78
258.99,344.63,71.20,71.20,294.58,380.22
230.10,330.18,71.20,71.20,265.69,365.78
201.20,344.63,71.20,71.20,236.80,380.22
215.65,330.18,71.20,71.20,251.25,365.78
201.20,344.63,71.20,71.20,236.80,380.22
230.10,359.07,71.20,71.20,265.69,394.67
230.10,431.30,71.20,71.20,265.69,466.90
215.65,416.85,71.20,71.20,251.25,452.45
201.20,402.41,71.20,71.20,236.80,438.01
186.76,373.52,71.20,71.20,222.36,409.12
172.31,344.63,71.20,71.20,207.91,380.22
157.87,315.74,71.20,71.20,193.47,351.33
128.98,287.88,71.20,71.20,164.57,323.47
114.53,258.99,71.20,71.20,150.13,294.58
114.53,230.10,71.20,71.20,150.13,265.69
273.43,416.85,71.20,71.20,309.03,452.45
302.32,402.41,71.20,71.20,337.92,438.01
344.63,387.96,71.20,71.20,380.22,423.56
373.52,373.52,71.20,71.20,409.12,409.12
402.41,344.63,71.20,71.20,438.01,380.22
416.85,302.32,71.20,71.20,452.45,337.92
431.30,258.99,71.20,71.20,466.90,294.58
431.30,230.10,71.20,71.20,466.90,265.69
