92,-30
x,y,dx,dy,x_c,y_c
109.00,127.00,29.00,29.00,123.50,141.50
109.00,127.00,29.00,29.00,123.50,141.50
103.00,127.00,29.00,29.00,117.50,141.50
115.00,127.00,29.00,29.00,129.50,141.50
115.00,121.00,29.00,29.00,129.50,135.50
115.00,115.00,29.00,29.00,129.50,129.50
115.00,109.00,29.00,29.00,129.50,123.50
109.00,97.00,29.00,29.00,123.50,111.50
109.00,91.00,29.00,29.00,123.50,105.50
97.00,91.00,29.00,29.00,111.50,105.50
91.00,97.00,29.00,29.00,105.50,111.50
85.00,97.00,29.00,29.00,99.50,111.50
91.00,91.00,29.00,29.00,105.50,105.50
85.00,91.00,29.00,29.00,99.50,105.50
79.00,97.00,29.00,29.00,93.50,111.50
61.00,85.00,29.00,29.00,75.50,99.50
67.00,79.00,29.00,29.00,81.50,93.50
79.00,79.00,29.00,29.00,93.50,93.50
91.00,79.00,29.00,29.00,105.50,93.50
103.00,79.00,29.00,29.00,117.50,93.50
121.00,91.00,29.00,29.00,135.50,105.50
127.00,91.00,29.00,29.00,141.50,105.50
127.00,91.00,29.00,29.00,141.50,105.50
127.00,91.00,29.00,29.00,141.50,105.50
127.00,91.00,29.00,29.00,141.50,105.50
127.00,91.00,29.00,29.00,141.50,105.50
133.00,79.00,29.00,29.00,147.50,93.50
133.00,79.00,29.00,29.00,147.50,93.50
127.00,79.00,29.00,29.00,141.50,93.50
121.00,79.00,29.00,29.00,135.50,93.50
115.00,79.00,29.00,29.00,129.50,93.50
109.00,133.00,29.00,29.00,123.50,147.50
97.00,127.00,29.00,29.00,111.50,141.50
91.00,133.00,29.00,29.00,105.50,147.50
79.00,139.00,29.00,29.00,93.50,153.50
91.00,139.00,29.00,29.00,105.50,153.50
97.00,133.00,29.00,29.00,111.50,147.50
109.00,139.00,29.00,29.00,123.50,153.50
115.00,133.00,29.00,29.00,129.50,147.50
127.00,133.00,29.00,29.00,141.50,147.50
133.00,139.00,29.00,29.00,147.50,153.50
127.00,133.00,29.00,29.00,141.50,147.50
115.00,139.00,29.00,29.00,129.50,153.50
133.00,146.00,29.00,29.00,147.50,160.50
127.00,139.00,29.00,29.00,141.50,153.50
127.00,146.00,29.00,29.00,141.50,160.50
121.00,139.00,29.00,29.00,135.50,153.50
115.00,146.00,29.00,29.00,129.50,160.50
115.00,139.00,29.00,29.00,129.50,153.50
109.00,152.00,29.00,29.00,123.50,166.50
121.00,146.00,29.00,29.00,135.50,160.50
121.00,176.00,29.00,29.00,135.50,190.50
103.00,176.00,29.00,29.00,117.50,190.50
85.00,170.00,29.00,29.00,99.50,184.50
73.00,164.00,29.00,29.00,87.50,178.50
61.00,158.00,29.00,29.00,75.50,172.50
49.00,146.00,29.00,29.00,63.50,160.50
42.00,127.00,29.00,29.00,56.50,141.50
42.00,109.00,29.00,29.00,56.50,123.50
42.00,91.00,29.00,29.00,56.50,105.50
133.00,170.00,29.00,29.00,147.50,184.50
139.00,158.00,29.00,29.00,153.50,172.50
139.00,146.00,29.00,29.00,153.50,160.50
146.00,133.00,29.00,29.00,160.50,147.50
152.00,121.00,29.00,29.00,166.50,135.50
152.00,109.00,29.00,29.00,166.50,123.50
152.00,97.00,29.00,29.00,166.50,111.50
146.00,85.00,29.00,29.00,160.50,99.50
