144,0
x,y,dx,dy,x_c,y_c
190.00,243.00,52.00,52.00,216.00,269.00
179.00,243.00,52.00,52.00,205.00,269.00
179.00,232.00,52.00,52.00,205.00,258.00
201.00,232.00,52.00,52.00,227.00,258.00
211.00,232.00,52.00,52.00,237.00,258.00
190.00,222.00,52.00,52.00,216.00,248.00
190.00,211.00,52.00,52.00,216.00,237.00
190.00,190.00,52.00,52.00,216.00,216.00
201.00,169.00,52.00,52.00,227.00,195.00
169.00,158.00,52.00,52.00,195.00,184.00
158.00,158.00,52.00,52.00,184.00,184.00
158.00,158.00,52.00,52.00,184.00,184.00
158.00,148.00,52.00,52.00,184.00,174.00
148.00,148.00,52.00,52.00,174.00,174.00
137.00,158.00,52.00,52.00,163.00,184.00
116.00,148.00,52.00,52.00,142.00,174.00
127.00,137.00,52.00,52.00,153.00,163.00
137.00,127.00,52.00,52.00,163.00,153.00
158.00,127.00,52.00,52.00,184.00,153.00
179.00,137.00,52.00,52.00,205.00,163.00
232.00,169.00,52.00,52.00,258.00,195.00
243.00,169.00,52.00,52.00,269.00,195.00
253.00,169.00,52.00,52.00,279.00,195.00
243.00,158.00,52.00,52.00,269.00,184.00
253.00,158.00,52.00,52.00,279.00,184.00
264.00,169.00,52.00,52.00,290.00,195.00
285.00,148.00,52.00,52.00,311.00,174.00
274.00,137.00,52.00,52.00,300.00,163.00
253.00,127.00,52.00,52.00,279.00,153.00
232.00,127.00,52.00,52.00,258.00,153.00
211.00,127.00,52.00,52.00,237.00,153.00
190.00,253.00,52.00,52.00,216.00,279.00
179.00,243.00,52.00,52.00,205.00,269.00
158.00,243.00,52.00,52.00,184.00,269.00
148.00,253.00,52.00,52.00,174.00,279.00
158.00,253.00,52.00,52.00,184.00,279.00
169.00,253.00,52.00,52.00,195.00,279.00
190.00,253.00,52.00,52.00,216.00,279.00
211.00,243.00,52.00,52.00,237.00,269.00
222.00,253.00,52.00,52.00,248.00,279.00
232.00,264.00,52.00,52.00,258.00,290.00
232.00,253.00,52.00,52.00,258.00,279.00
222.00,253.00,52.00,52.00,248.00,279.00
222.00,285.00,52.00,52.00,248.00,311.00
211.00,285.00,52.00,52.00,237.00,311.00
211.00,306.00,52.00,52.00,237.00,332.00
190.00,296.00,52.00,52.00,216.00,322.00
169.00,306.00,52.00,52.00,195.00,332.00
169.00,285.00,52.00,52.00,195.00,311.00
158.00,285.00,52.00,52.00,184.00,311.00
190.00,306.00,52.00,52.00,216.00,332.00
190.00,348.00,52.00,52.00,216.00,374.00
169.00,338.00,52.00,52.00,195.00,364.00
148.00,317.00,52.00,52.00,174.00,343.00
127.00,296.00,52.00,52.00,153.00,322.00
116.00,285.00,52.00,52.00,142.00,311.00
106.00,253.00,52.00,52.00,132.00,279.00
106.00,232.00,52.00,52.00,132.00,258.00
106.00,201.00,52.00,52.00,132.00,227.00
106.00,169.00,52.00,52.00,132.00,195.00
211.00,338.00,52.00,52.00,237.00,364.00
243.00,317.00,52.00,52.00,269.00,343.00
274.00,296.00,52.00,52.00,300.00,322.00
285.00,264.00,52.00,52.00,311.00,290.00
306.00,243.00,52.00,52.00,332.00,269.00
306.00,222.00,52.00,52.00,332.00,248.00
317.00,190.00,52.00,52.00,343.00,216.00
317.00,169.00,52.00,52.00,343.00,195.00
