51,0
x,y,dx,dy,x_c,y_c
44.00,44.00,19.00,19.00,53.50,53.50
40.00,44.00,19.00,19.00,49.50,53.50
36.00,40.00,19.00,19.00,45.50,49.50
48.00,40.00,19.00,19.00,57.50,49.50
52.00,36.00,19.00,19.00,61.50,45.50
44.00,44.00,19.00,19.00,53.50,53.50
44.00,40.00,19.00,19.00,53.50,49.50
44.00,36.00,19.00,19.00,53.50,45.50
44.00,32.00,19.00,19.00,53.50,41.50
36.00,32.00,19.00,19.00,45.50,41.50
36.00,32.00,19.00,19.00,45.50,41.50
32.00,32.00,19.00,19.00,41.50,41.50
32.00,32.00,19.00,19.00,41.50,41.50
32.00,32.00,19.00,19.00,41.50,41.50
28.00,32.00,19.00,19.00,37.50,41.50
20.00,24.00,19.00,19.00,29.50,33.50
24.00,24.00,19.00,19.00,33.50,33.50
28.00,24.00,19.00,19.00,37.50,33.50
32.00,28.00,19.00,19.00,41.50,37.50
36.00,28.00,19.00,19.00,45.50,37.50
52.00,32.00,19.00,19.00,61.50,41.50
56.00,32.00,19.00,19.00,65.50,41.50
56.00,32.00,19.00,19.00,65.50,41.50
52.00,28.00,19.00,19.00,61.50,37.50
56.00,28.00,19.00,19.00,65.50,37.50
60.00,28.00,19.00,19.00,69.50,37.50
64.00,20.00,19.00,19.00,73.50,29.50
64.00,16.00,19.00,19.00,73.50,25.50
60.00,12.00,19.00,19.00,69.50,21.50
52.00,12.00,19.00,19.00,61.50,21.50
40.00,12.00,19.00,19.00,49.50,21.50
44.00,48.00,19.00,19.00,53.50,57.50
40.00,48.00,19.00,19.00,49.50,57.50
36.00,52.00,19.00,19.00,45.50,61.50
32.00,56.00,19.00,19.00,41.50,65.50
36.00,56.00,19.00,19.00,45.50,65.50
40.00,52.00,19.00,19.00,49.50,61.50
44.00,52.00,19.00,19.00,53.50,61.50
52.00,44.00,19.00,19.00,61.50,53.50
56.00,44.00,19.00,19.00,65.50,53.50
60.00,48.00,19.00,19.00,69.50,57.50
56.00,48.00,19.00,19.00,65.50,57.50
56.00,48.00,19.00,19.00,65.50,57.50
56.00,52.00,19.00,19.00,65.50,61.50
52.00,48.00,19.00,19.00,61.50,57.50
52.00,56.00,19.00,19.00,61.50,65.50
44.00,52.00,19.00,19.00,53.50,61.50
40.00,56.00,19.00,19.00,49.50,65.50
40.00,52.00,19.00,19.00,49.50,61.50
36.00,56.00,19.00,19.00,45.50,65.50
44.00,56.00,19.00,19.00,53.50,65.50
44.00,72.00,19.00,19.00,53.50,81.50
32.00,68.00,19.00,19.00,41.50,77.50
24.00,64.00,19.00,19.00,33.50,73.50
16.00,56.00,19.00,19.00,25.50,65.50
12.00,52.00,19.00,19.00,21.50,61.50
12.00,44.00,19.00,19.00,21.50,53.50
12.00,32.00,19.00,19.00,21.50,41.50
12.00,20.00,19.00,19.00,21.50,29.50
12.00,8.00,19.00,19.00,21.50,17.50
52.00,68.00,19.00,19.00,61.50,77.50
60.00,60.00,19.00,19.00,69.50,69.50
68.00,56.00,19.00,19.00,77.50,65.50
72.00,44.00,19.00,19.00,81.50,53.50
76.00,36.00,19.00,19.00,85.50,45.50
76.00,28.00,19.00,19.00,85.50,37.50
80.00,16.00,19.00,19.00,89.50,25.50
80.00,4.00,19.00,19.00,89.50,13.50
