130,0
x,y,dx,dy,x_c,y_c
250.91,304.36,65.45,65.45,283.64,337.09
237.82,304.36,65.45,65.45,270.55,337.09
224.73,304.36,65.45,65.45,257.45,337.09
265.09,304.36,65.45,65.45,297.82,337.09
278.18,304.36,65.45,65.45,310.91,337.09
250.91,278.18,65.45,65.45,283.64,310.91
250.91,265.09,65.45,65.45,283.64,297.82
250.91,237.82,65.45,65.45,283.64,270.55
250.91,224.73,65.45,65.45,283.64,257.45
211.64,237.82,65.45,65.45,244.36,270.55
211.64,237.82,65.45,65.45,244.36,270.55
198.55,237.82,65.45,65.45,231.27,270.55
198.55,237.82,65.45,65.45,231.27,270.55
198.55,250.91,65.45,65.45,231.27,283.64
185.45,265.09,65.45,65.45,218.18,297.82
145.09,237.82,65.45,65.45,177.82,270.55
159.27,224.73,65.45,65.45,192.00,257.45
185.45,211.64,65.45,65.45,218.18,244.36
211.64,211.64,65.45,65.45,244.36,244.36
237.82,211.64,65.45,65.45,270.55,244.36
278.18,224.73,65.45,65.45,310.91,257.45
291.27,224.73,65.45,65.45,324.00,257.45
291.27,224.73,65.45,65.45,324.00,257.45
291.27,211.64,65.45,65.45,324.00,244.36
304.36,211.64,65.45,65.45,337.09,244.36
317.45,211.64,65.45,65.45,350.18,244.36
343.64,185.45,65.45,65.45,376.36,218.18
330.55,185.45,65.45,65.45,363.27,218.18
304.36,185.45,65.45,65.45,337.09,218.18
291.27,185.45,65.45,65.45,324.00,218.18
265.09,185.45,65.45,65.45,297.82,218.18
250.91,317.45,65.45,65.45,283.64,350.18
224.73,317.45,65.45,65.45,257.45,350.18
211.64,317.45,65.45,65.45,244.36,350.18
198.55,330.55,65.45,65.45,231.27,363.27
211.64,330.55,65.45,65.45,244.36,363.27
224.73,317.45,65.45,65.45,257.45,350.18
250.91,317.45,65.45,65.45,283.64,350.18
278.18,304.36,65.45,65.45,310.91,337.09
304.36,304.36,65.45,65.45,337.09,337.09
317.45,317.45,65.45,65.45,350.18,350.18
317.45,304.36,65.45,65.45,350.18,337.09
291.27,317.45,65.45,65.45,324.00,350.18
304.36,343.64,65.45,65.45,337.09,376.36
278.18,330.55,65.45,65.45,310.91,363.27
278.18,356.73,65.45,65.45,310.91,389.45
250.91,343.64,65.45,65.45,283.64,376.36
224.73,356.73,65.45,65.45,257.45,389.45
224.73,330.55,65.45,65.45,257.45,363.27
211.64,343.64,65.45,65.45,244.36,376.36
250.91,356.73,65.45,65.45,283.64,389.45
250.91,423.27,65.45,65.45,283.64,456.00
224.73,410.18,65.45,65.45,257.45,442.91
198.55,384.00,65.45,65.45,231.27,416.73
172.36,356.73,65.45,65.45,205.09,389.45
145.09,330.55,65.45,65.45,177.82,363.27
132.00,291.27,65.45,65.45,164.73,324.00
118.91,265.09,65.45,65.45,151.64,297.82
105.82,224.73,65.45,65.45,138.55,257.45
105.82,198.55,65.45,65.45,138.55,231.27
291.27,410.18,65.45,65.45,324.00,442.91
330.55,397.09,65.45,65.45,363.27,429.82
356.73,384.00,65.45,65.45,389.45,416.73
370.91,343.64,65.45,65.45,403.64,376.36
384.00,317.45,65.45,65.45,416.73,350.18
384.00,291.27,65.45,65.45,416.73,324.00
397.09,250.91,65.45,65.45,429.82,283.64
397.09,224.73,65.45,65.45,429.82,257.45
