108,15
x,y,dx,dy,x_c,y_c
116.00,148.00,52.00,52.00,142.00,174.00
116.00,148.00,52.00,52.00,142.00,174.00
106.00,148.00,52.00,52.00,132.00,174.00
127.00,148.00,52.00,52.00,153.00,174.00
137.00,148.00,52.00,52.00,163.00,174.00
116.00,127.00,52.00,52.00,142.00,153.00
116.00,116.00,52.00,52.00,142.00,142.00
116.00,106.00,52.00,52.00,142.00,132.00
116.00,95.00,52.00,52.00,142.00,121.00
95.00,95.00,52.00,52.00,121.00,121.00
95.00,95.00,52.00,52.00,121.00,121.00
84.00,95.00,52.00,52.00,110.00,121.00
95.00,84.00,52.00,52.00,121.00,110.00
84.00,84.00,52.00,52.00,110.00,110.00
74.00,95.00,52.00,52.00,100.00,121.00
53.00,63.00,52.00,52.00,79.00,89.00
63.00,53.00,52.00,52.00,89.00,79.00
74.00,53.00,52.00,52.00,100.00,79.00
84.00,53.00,52.00,52.00,110.00,79.00
95.00,53.00,52.00,52.00,121.00,79.00
148.00,95.00,52.00,52.00,174.00,121.00
158.00,95.00,52.00,52.00,184.00,121.00
169.00,95.00,52.00,52.00,195.00,121.00
158.00,95.00,52.00,52.00,184.00,121.00
158.00,95.00,52.00,52.00,184.00,121.00
169.00,106.00,52.00,52.00,195.00,132.00
201.00,95.00,52.00,52.00,227.00,121.00
190.00,74.00,52.00,52.00,216.00,100.00
169.00,63.00,52.00,52.00,195.00,89.00
158.00,63.00,52.00,52.00,184.00,89.00
137.00,74.00,52.00,52.00,163.00,100.00
106.00,158.00,52.00,52.00,132.00,184.00
95.00,148.00,52.00,52.00,121.00,174.00
84.00,158.00,52.00,52.00,110.00,184.00
74.00,169.00,52.00,52.00,100.00,195.00
84.00,169.00,52.00,52.00,110.00,195.00
95.00,158.00,52.00,52.00,121.00,184.00
106.00,158.00,52.00,52.00,132.00,184.00
137.00,158.00,52.00,52.00,163.00,184.00
148.00,158.00,52.00,52.00,174.00,184.00
158.00,169.00,52.00,52.00,184.00,195.00
148.00,169.00,52.00,52.00,174.00,195.00
137.00,169.00,52.00,52.00,163.00,195.00
148.00,179.00,52.00,52.00,174.00,205.00
127.00,158.00,52.00,52.00,153.00,184.00
127.00,179.00,52.00,52.00,153.00,205.00
106.00,158.00,52.00,52.00,132.00,184.00
95.00,179.00,52.00,52.00,121.00,205.00
95.00,158.00,52.00,52.00,121.00,184.00
84.00,179.00,52.00,52.00,110.00,205.00
106.00,179.00,52.00,52.00,132.00,205.00
106.00,243.00,52.00,52.00,132.00,269.00
95.00,232.00,52.00,52.00,121.00,258.00
84.00,222.00,52.00,52.00,110.00,248.00
74.00,211.00,52.00,52.00,100.00,237.00
63.00,201.00,52.00,52.00,89.00,227.00
53.00,179.00,52.00,52.00,79.00,205.00
42.00,158.00,52.00,52.00,68.00,184.00
32.00,148.00,52.00,52.00,58.00,174.00
32.00,127.00,52.00,52.00,58.00,153.00
137.00,243.00,52.00,52.00,163.00,269.00
158.00,232.00,52.00,52.00,184.00,258.00
179.00,222.00,52.00,52.00,205.00,248.00
190.00,211.00,52.00,52.00,216.00,237.00
211.00,190.00,52.00,52.00,237.00,216.00
222.00,169.00,52.00,52.00,248.00,195.00
232.00,137.00,52.00,52.00,258.00,163.00
232.00,116.00,52.00,52.00,258.00,142.00
