110,0
x,y,dx,dy,x_c,y_c
267.80,329.43,101.97,101.97,318.78,380.41
247.63,329.43,101.97,101.97,298.62,380.41
226.34,329.43,101.97,101.97,277.33,380.41
287.97,329.43,101.97,101.97,338.95,380.41
309.26,329.43,101.97,101.97,360.24,380.41
267.80,287.97,101.97,101.97,318.78,338.95
267.80,267.80,101.97,101.97,318.78,318.78
267.80,247.63,101.97,101.97,318.78,298.62
267.80,226.34,101.97,101.97,318.78,277.33
226.34,226.34,101.97,101.97,277.33,277.33
206.17,226.34,101.97,101.97,257.16,277.33
206.17,226.34,101.97,101.97,257.16,277.33
206.17,226.34,101.97,101.97,257.16,277.33
206.17,226.34,101.97,101.97,257.16,277.33
184.88,226.34,101.97,101.97,235.87,277.33
123.26,206.17,101.97,101.97,174.24,257.16
123.26,184.88,101.97,101.97,174.24,235.87
144.55,164.71,101.97,101.97,195.53,215.70
184.88,164.71,101.97,101.97,235.87,215.70
226.34,184.88,101.97,101.97,277.33,235.87
329.43,247.63,101.97,101.97,380.41,298.62
349.60,247.63,101.97,101.97,400.58,298.62
349.60,247.63,101.97,101.97,400.58,298.62
349.60,226.34,101.97,101.97,400.58,277.33
349.60,226.34,101.97,101.97,400.58,277.33
370.89,247.63,101.97,101.97,421.87,298.62
412.35,206.17,101.97,101.97,463.33,257.16
391.06,184.88,101.97,101.97,442.04,235.87
349.60,184.88,101.97,101.97,400.58,235.87
329.43,184.88,101.97,101.97,380.41,235.87
287.97,184.88,101.97,101.97,338.95,235.87
267.80,349.60,101.97,101.97,318.78,400.58
247.63,329.43,101.97,101.97,298.62,380.41
206.17,349.60,101.97,101.97,257.16,400.58
184.88,370.89,101.97,101.97,235.87,421.87
184.88,370.89,101.97,101.97,235.87,421.87
247.63,349.60,101.97,101.97,298.62,400.58
267.80,370.89,101.97,101.97,318.78,421.87
309.26,349.60,101.97,101.97,360.24,400.58
349.60,370.89,101.97,101.97,400.58,421.87
370.89,370.89,101.97,101.97,421.87,421.87
349.60,370.89,101.97,101.97,400.58,421.87
309.26,370.89,101.97,101.97,360.24,421.87
370.89,412.35,101.97,101.97,421.87,463.33
349.60,391.06,101.97,101.97,400.58,442.04
349.60,432.52,101.97,101.97,400.58,483.50
309.26,412.35,101.97,101.97,360.24,463.33
287.97,432.52,101.97,101.97,338.95,483.50
287.97,391.06,101.97,101.97,338.95,442.04
267.80,412.35,101.97,101.97,318.78,463.33
309.26,432.52,101.97,101.97,360.24,483.50
309.26,535.60,101.97,101.97,360.24,586.59
267.80,514.31,101.97,101.97,318.78,565.30
226.34,494.14,101.97,101.97,277.33,545.13
184.88,452.69,101.97,101.97,235.87,503.67
164.71,412.35,101.97,101.97,215.70,463.33
144.55,349.60,101.97,101.97,195.53,400.58
123.26,287.97,101.97,101.97,174.24,338.95
103.09,226.34,101.97,101.97,154.07,277.33
103.09,164.71,101.97,101.97,154.07,215.70
349.60,514.31,101.97,101.97,400.58,565.30
391.06,473.97,101.97,101.97,442.04,524.96
412.35,432.52,101.97,101.97,463.33,483.50
432.52,370.89,101.97,101.97,483.50,421.87
432.52,329.43,101.97,101.97,483.50,380.41
432.52,287.97,101.97,101.97,483.50,338.95
452.69,226.34,101.97,101.97,503.67,277.33
452.69,184.88,101.97,101.97,503.67,235.87
