74,0
x,y,dx,dy,x_c,y_c
209.45,261.82,86.18,86.18,252.55,304.91
192.00,261.82,86.18,86.18,235.09,304.91
192.00,261.82,86.18,86.18,235.09,304.91
226.91,244.36,86.18,86.18,270.00,287.45
226.91,244.36,86.18,86.18,270.00,287.45
226.91,244.36,86.18,86.18,270.00,287.45
244.36,244.36,86.18,86.18,287.45,287.45
244.36,209.45,86.18,86.18,287.45,252.55
244.36,192.00,86.18,86.18,287.45,235.09
192.00,192.00,86.18,86.18,235.09,235.09
192.00,192.00,86.18,86.18,235.09,235.09
174.55,192.00,86.18,86.18,217.64,235.09
174.55,192.00,86.18,86.18,217.64,235.09
174.55,192.00,86.18,86.18,217.64,235.09
157.09,192.00,86.18,86.18,200.18,235.09
104.73,157.09,86.18,86.18,147.82,200.18
122.18,139.64,86.18,86.18,165.27,182.73
139.64,122.18,86.18,86.18,182.73,165.27
174.55,139.64,86.18,86.18,217.64,182.73
209.45,157.09,86.18,86.18,252.55,200.18
296.73,192.00,86.18,86.18,339.82,235.09
314.18,209.45,86.18,86.18,357.27,252.55
331.64,209.45,86.18,86.18,374.73,252.55
314.18,192.00,86.18,86.18,357.27,235.09
331.64,192.00,86.18,86.18,374.73,235.09
349.09,192.00,86.18,86.18,392.18,235.09
384.00,157.09,86.18,86.18,427.09,200.18
366.55,157.09,86.18,86.18,409.64,200.18
331.64,157.09,86.18,86.18,374.73,200.18
314.18,157.09,86.18,86.18,357.27,200.18
279.27,157.09,86.18,86.18,322.36,200.18
209.45,279.27,86.18,86.18,252.55,322.36
192.00,279.27,86.18,86.18,235.09,322.36
174.55,279.27,86.18,86.18,217.64,322.36
157.09,296.73,86.18,86.18,200.18,339.82
174.55,314.18,86.18,86.18,217.64,357.27
192.00,296.73,86.18,86.18,235.09,339.82
209.45,296.73,86.18,86.18,252.55,339.82
244.36,279.27,86.18,86.18,287.45,322.36
279.27,296.73,86.18,86.18,322.36,339.82
296.73,314.18,86.18,86.18,339.82,357.27
279.27,296.73,86.18,86.18,322.36,339.82
244.36,296.73,86.18,86.18,287.45,339.82
279.27,331.64,86.18,86.18,322.36,374.73
261.82,314.18,86.18,86.18,304.91,357.27
261.82,349.09,86.18,86.18,304.91,392.18
226.91,331.64,86.18,86.18,270.00,374.73
192.00,349.09,86.18,86.18,235.09,392.18
192.00,314.18,86.18,86.18,235.09,357.27
174.55,314.18,86.18,86.18,217.64,357.27
226.91,349.09,86.18,86.18,270.00,392.18
244.36,418.91,86.18,86.18,287.45,462.00
209.45,418.91,86.18,86.18,252.55,462.00
192.00,384.00,86.18,86.18,235.09,427.09
157.09,349.09,86.18,86.18,200.18,392.18
139.64,314.18,86.18,86.18,182.73,357.27
122.18,279.27,86.18,86.18,165.27,322.36
104.73,244.36,86.18,86.18,147.82,287.45
87.27,192.00,86.18,86.18,130.36,235.09
87.27,139.64,86.18,86.18,130.36,182.73
279.27,401.45,86.18,86.18,322.36,444.55
314.18,366.55,86.18,86.18,357.27,409.64
349.09,331.64,86.18,86.18,392.18,374.73
366.55,279.27,86.18,86.18,409.64,322.36
384.00,244.36,86.18,86.18,427.09,287.45
401.45,209.45,86.18,86.18,444.55,252.55
418.91,157.09,86.18,86.18,462.00,200.18
418.91,104.73,86.18,86.18,462.00,147.82
