71,0
x,y,dx,dy,x_c,y_c
269.28,289.56,102.53,102.53,320.54,340.82
249.00,289.56,102.53,102.53,300.26,340.82
227.59,289.56,102.53,102.53,278.85,340.82
289.56,289.56,102.53,102.53,340.82,340.82
289.56,289.56,102.53,102.53,340.82,340.82
269.28,249.00,102.53,102.53,320.54,300.26
269.28,227.59,102.53,102.53,320.54,278.85
249.00,185.90,102.53,102.53,300.26,237.17
249.00,185.90,102.53,102.53,300.26,237.17
185.90,207.31,102.53,102.53,237.17,258.57
185.90,207.31,102.53,102.53,237.17,258.57
165.62,207.31,102.53,102.53,216.89,258.57
165.62,207.31,102.53,102.53,216.89,258.57
165.62,207.31,102.53,102.53,216.89,258.57
145.34,207.31,102.53,102.53,196.61,258.57
83.37,165.62,102.53,102.53,134.64,216.89
103.66,145.34,102.53,102.53,154.92,196.61
145.34,123.94,102.53,102.53,196.61,175.20
185.90,145.34,102.53,102.53,237.17,196.61
207.31,145.34,102.53,102.53,258.57,196.61
310.97,185.90,102.53,102.53,362.23,237.17
331.25,185.90,102.53,102.53,382.51,237.17
331.25,185.90,102.53,102.53,382.51,237.17
331.25,185.90,102.53,102.53,382.51,237.17
331.25,185.90,102.53,102.53,382.51,237.17
351.53,185.90,102.53,102.53,402.79,237.17
393.21,145.34,102.53,102.53,444.48,196.61
372.93,145.34,102.53,102.53,424.20,196.61
331.25,123.94,102.53,102.53,382.51,175.20
310.97,123.94,102.53,102.53,362.23,175.20
269.28,123.94,102.53,102.53,320.54,175.20
269.28,310.97,102.53,102.53,320.54,362.23
249.00,331.25,102.53,102.53,300.26,382.51
227.59,351.53,102.53,102.53,278.85,402.79
207.31,393.21,102.53,102.53,258.57,444.48
207.31,372.93,102.53,102.53,258.57,424.20
249.00,331.25,102.53,102.53,300.26,382.51
269.28,331.25,102.53,102.53,320.54,382.51
289.56,310.97,102.53,102.53,340.82,362.23
310.97,331.25,102.53,102.53,362.23,382.51
310.97,351.53,102.53,102.53,362.23,402.79
310.97,351.53,102.53,102.53,362.23,402.79
289.56,331.25,102.53,102.53,340.82,382.51
289.56,372.93,102.53,102.53,340.82,424.20
269.28,351.53,102.53,102.53,320.54,402.79
269.28,372.93,102.53,102.53,320.54,424.20
227.59,351.53,102.53,102.53,278.85,402.79
207.31,372.93,102.53,102.53,258.57,424.20
207.31,331.25,102.53,102.53,258.57,382.51
185.90,351.53,102.53,102.53,237.17,402.79
227.59,372.93,102.53,102.53,278.85,424.20
249.00,455.18,102.53,102.53,300.26,506.45
185.90,434.90,102.53,102.53,237.17,486.17
145.34,414.62,102.53,102.53,196.61,465.88
103.66,372.93,102.53,102.53,154.92,424.20
83.37,351.53,102.53,102.53,134.64,402.79
61.97,310.97,102.53,102.53,113.23,362.23
61.97,269.28,102.53,102.53,113.23,320.54
41.69,207.31,102.53,102.53,92.95,258.57
41.69,145.34,102.53,102.53,92.95,196.61
289.56,455.18,102.53,102.53,340.82,506.45
331.25,434.90,102.53,102.53,382.51,486.17
372.93,414.62,102.53,102.53,424.20,465.88
393.21,351.53,102.53,102.53,444.48,402.79
414.62,331.25,102.53,102.53,465.88,382.51
414.62,289.56,102.53,102.53,465.88,340.82
434.90,227.59,102.53,102.53,486.17,278.85
434.90,185.90,102.53,102.53,486.17,237.17
