112,0
x,y,dx,dy,x_c,y_c
279.51,314.44,86.25,86.25,322.63,357.57
262.04,314.44,86.25,86.25,305.16,357.57
244.57,296.97,86.25,86.25,287.69,340.10
296.97,296.97,86.25,86.25,340.10,340.10
314.44,296.97,86.25,86.25,357.57,340.10
279.51,279.51,86.25,86.25,322.63,322.63
279.51,244.57,86.25,86.25,322.63,287.69
279.51,209.63,86.25,86.25,322.63,252.76
296.97,192.16,86.25,86.25,340.10,235.29
244.57,192.16,86.25,86.25,287.69,235.29
227.10,192.16,86.25,86.25,270.22,235.29
227.10,209.63,86.25,86.25,270.22,252.76
227.10,192.16,86.25,86.25,270.22,235.29
227.10,192.16,86.25,86.25,270.22,235.29
209.63,209.63,86.25,86.25,252.76,252.76
174.69,174.69,86.25,86.25,217.82,217.82
192.16,157.22,86.25,86.25,235.29,200.35
209.63,139.75,86.25,86.25,252.76,182.88
244.57,157.22,86.25,86.25,287.69,200.35
279.51,157.22,86.25,86.25,322.63,200.35
331.91,192.16,86.25,86.25,375.04,235.29
349.38,209.63,86.25,86.25,392.51,252.76
366.85,209.63,86.25,86.25,409.98,252.76
349.38,192.16,86.25,86.25,392.51,235.29
366.85,192.16,86.25,86.25,409.98,235.29
384.32,209.63,86.25,86.25,427.45,252.76
419.26,174.69,86.25,86.25,462.38,217.82
401.79,157.22,86.25,86.25,444.92,200.35
366.85,157.22,86.25,86.25,409.98,200.35
349.38,157.22,86.25,86.25,392.51,200.35
314.44,157.22,86.25,86.25,357.57,200.35
279.51,331.91,86.25,86.25,322.63,375.04
262.04,331.91,86.25,86.25,305.16,375.04
244.57,331.91,86.25,86.25,287.69,375.04
227.10,349.38,86.25,86.25,270.22,392.51
227.10,349.38,86.25,86.25,270.22,392.51
262.04,331.91,86.25,86.25,305.16,375.04
279.51,331.91,86.25,86.25,322.63,375.04
314.44,314.44,86.25,86.25,357.57,357.57
331.91,331.91,86.25,86.25,375.04,375.04
331.91,331.91,86.25,86.25,375.04,375.04
331.91,331.91,86.25,86.25,375.04,375.04
314.44,331.91,86.25,86.25,357.57,375.04
314.44,349.38,86.25,86.25,357.57,392.51
296.97,331.91,86.25,86.25,340.10,375.04
296.97,366.85,86.25,86.25,340.10,409.98
262.04,349.38,86.25,86.25,305.16,392.51
244.57,366.85,86.25,86.25,287.69,409.98
244.57,349.38,86.25,86.25,287.69,392.51
227.10,366.85,86.25,86.25,270.22,409.98
262.04,366.85,86.25,86.25,305.16,409.98
262.04,419.26,86.25,86.25,305.16,462.38
209.63,401.79,86.25,86.25,252.76,444.92
174.69,366.85,86.25,86.25,217.82,409.98
139.75,331.91,86.25,86.25,182.88,375.04
104.81,296.97,86.25,86.25,147.94,340.10
87.35,244.57,86.25,86.25,130.47,287.69
69.88,209.63,86.25,86.25,113.00,252.76
52.41,157.22,86.25,86.25,95.53,200.35
52.41,122.28,86.25,86.25,95.53,165.41
296.97,401.79,86.25,86.25,340.10,444.92
331.91,366.85,86.25,86.25,375.04,409.98
366.85,331.91,86.25,86.25,409.98,375.04
384.32,279.51,86.25,86.25,427.45,322.63
419.26,244.57,86.25,86.25,462.38,287.69
436.73,209.63,86.25,86.25,479.85,252.76
454.20,157.22,86.25,86.25,497.32,200.35
454.20,122.28,86.25,86.25,497.32,165.41
