125,0
x,y,dx,dy,x_c,y_c
287.53,274.00,67.65,67.65,321.36,307.83
274.00,274.00,67.65,67.65,307.83,307.83
259.34,274.00,67.65,67.65,293.17,307.83
301.06,274.00,67.65,67.65,334.89,307.83
314.59,274.00,67.65,67.65,348.42,307.83
287.53,245.81,67.65,67.65,321.36,279.64
287.53,218.75,67.65,67.65,321.36,252.57
287.53,191.69,67.65,67.65,321.36,225.51
287.53,178.16,67.65,67.65,321.36,211.98
245.81,191.69,67.65,67.65,279.64,225.51
232.28,191.69,67.65,67.65,266.11,225.51
218.75,191.69,67.65,67.65,252.57,225.51
232.28,191.69,67.65,67.65,266.11,225.51
218.75,191.69,67.65,67.65,252.57,225.51
205.22,191.69,67.65,67.65,239.04,225.51
178.16,164.62,67.65,67.65,211.98,198.45
191.69,149.97,67.65,67.65,225.51,183.79
205.22,136.44,67.65,67.65,239.04,170.26
232.28,136.44,67.65,67.65,266.11,170.26
245.81,136.44,67.65,67.65,279.64,170.26
328.12,178.16,67.65,67.65,361.95,211.98
341.65,178.16,67.65,67.65,375.48,211.98
355.18,178.16,67.65,67.65,389.01,211.98
328.12,178.16,67.65,67.65,361.95,211.98
341.65,178.16,67.65,67.65,375.48,211.98
355.18,178.16,67.65,67.65,389.01,211.98
396.90,149.97,67.65,67.65,430.73,183.79
383.37,136.44,67.65,67.65,417.20,170.26
355.18,136.44,67.65,67.65,389.01,170.26
328.12,136.44,67.65,67.65,361.95,170.26
301.06,136.44,67.65,67.65,334.89,170.26
287.53,287.53,67.65,67.65,321.36,321.36
274.00,287.53,67.65,67.65,307.83,321.36
259.34,301.06,67.65,67.65,293.17,334.89
245.81,314.59,67.65,67.65,279.64,348.42
259.34,328.12,67.65,67.65,293.17,361.95
274.00,301.06,67.65,67.65,307.83,334.89
287.53,301.06,67.65,67.65,321.36,334.89
301.06,287.53,67.65,67.65,334.89,321.36
314.59,301.06,67.65,67.65,348.42,334.89
328.12,314.59,67.65,67.65,361.95,348.42
314.59,314.59,67.65,67.65,348.42,348.42
301.06,301.06,67.65,67.65,334.89,334.89
328.12,328.12,67.65,67.65,361.95,361.95
314.59,314.59,67.65,67.65,348.42,348.42
314.59,328.12,67.65,67.65,348.42,361.95
287.53,314.59,67.65,67.65,321.36,348.42
274.00,328.12,67.65,67.65,307.83,361.95
274.00,301.06,67.65,67.65,307.83,334.89
259.34,314.59,67.65,67.65,293.17,348.42
287.53,328.12,67.65,67.65,321.36,361.95
301.06,383.37,67.65,67.65,334.89,417.20
259.34,383.37,67.65,67.65,293.17,417.20
232.28,355.18,67.65,67.65,266.11,389.01
205.22,328.12,67.65,67.65,239.04,361.95
191.69,301.06,67.65,67.65,225.51,334.89
178.16,274.00,67.65,67.65,211.98,307.83
164.62,245.81,67.65,67.65,198.45,279.64
149.97,205.22,67.65,67.65,183.79,239.04
149.97,178.16,67.65,67.65,183.79,211.98
328.12,368.71,67.65,67.65,361.95,402.54
355.18,341.65,67.65,67.65,389.01,375.48
383.37,328.12,67.65,67.65,417.20,361.95
396.90,287.53,67.65,67.65,430.73,321.36
396.90,259.34,67.65,67.65,430.73,293.17
410.43,232.28,67.65,67.65,444.26,266.11
423.96,191.69,67.65,67.65,457.79,225.51
423.96,149.97,67.65,67.65,457.79,183.79
