71,30
x,y,dx,dy,x_c,y_c
179.06,408.94,127.04,127.04,242.58,472.46
179.06,408.94,127.04,127.04,242.58,472.46
179.06,383.53,127.04,127.04,242.58,447.05
204.47,408.94,127.04,127.04,267.99,472.46
229.88,408.94,127.04,127.04,293.40,472.46
179.06,358.12,127.04,127.04,242.58,421.64
179.06,331.51,127.04,127.04,242.58,395.02
204.47,280.69,127.04,127.04,267.99,344.21
204.47,255.28,127.04,127.04,267.99,318.80
153.65,255.28,127.04,127.04,217.17,318.80
153.65,255.28,127.04,127.04,217.17,318.80
128.25,255.28,127.04,127.04,191.77,318.80
128.25,255.28,127.04,127.04,191.77,318.80
128.25,255.28,127.04,127.04,191.77,318.80
101.63,255.28,127.04,127.04,165.15,318.80
101.63,179.06,127.04,127.04,165.15,242.58
101.63,179.06,127.04,127.04,165.15,242.58
101.63,179.06,127.04,127.04,165.15,242.58
128.25,204.47,127.04,127.04,191.77,267.99
153.65,204.47,127.04,127.04,217.17,267.99
280.69,255.28,127.04,127.04,344.21,318.80
280.69,280.69,127.04,127.04,344.21,344.21
306.10,280.69,127.04,127.04,369.62,344.21
280.69,255.28,127.04,127.04,344.21,318.80
306.10,255.28,127.04,127.04,369.62,318.80
306.10,280.69,127.04,127.04,369.62,344.21
383.53,229.88,127.04,127.04,447.05,293.40
358.12,229.88,127.04,127.04,421.64,293.40
331.51,229.88,127.04,127.04,395.02,293.40
280.69,229.88,127.04,127.04,344.21,293.40
255.28,229.88,127.04,127.04,318.80,293.40
179.06,434.35,127.04,127.04,242.58,497.86
153.65,408.94,127.04,127.04,217.17,472.46
128.25,408.94,127.04,127.04,191.77,472.46
128.25,434.35,127.04,127.04,191.77,497.86
128.25,408.94,127.04,127.04,191.77,472.46
153.65,408.94,127.04,127.04,217.17,472.46
179.06,434.35,127.04,127.04,242.58,497.86
204.47,434.35,127.04,127.04,267.99,497.86
229.88,434.35,127.04,127.04,293.40,497.86
255.28,434.35,127.04,127.04,318.80,497.86
229.88,459.75,127.04,127.04,293.40,523.27
204.47,459.75,127.04,127.04,267.99,523.27
229.88,459.75,127.04,127.04,293.40,523.27
179.06,408.94,127.04,127.04,242.58,472.46
179.06,434.35,127.04,127.04,242.58,497.86
128.25,383.53,127.04,127.04,191.77,447.05
101.63,434.35,127.04,127.04,165.15,497.86
128.25,383.53,127.04,127.04,191.77,447.05
128.25,408.94,127.04,127.04,191.77,472.46
128.25,408.94,127.04,127.04,191.77,472.46
128.25,535.98,127.04,127.04,191.77,599.49
101.63,510.57,127.04,127.04,165.15,574.09
76.22,485.16,127.04,127.04,139.74,548.68
76.22,434.35,127.04,127.04,139.74,497.86
50.81,383.53,127.04,127.04,114.33,447.05
50.81,331.51,127.04,127.04,114.33,395.02
50.81,280.69,127.04,127.04,114.33,344.21
50.81,229.88,127.04,127.04,114.33,293.40
50.81,204.47,127.04,127.04,114.33,267.99
179.06,510.57,127.04,127.04,242.58,574.09
255.28,485.16,127.04,127.04,318.80,548.68
306.10,459.75,127.04,127.04,369.62,523.27
358.12,408.94,127.04,127.04,421.64,472.46
383.53,358.12,127.04,127.04,447.05,421.64
408.94,306.10,127.04,127.04,472.46,369.62
408.94,229.88,127.04,127.04,472.46,293.40
408.94,179.06,127.04,127.04,472.46,242.58
