60,0
x,y,dx,dy,x_c,y_c
294.67,373.24,96.99,96.99,343.16,421.74
275.02,373.24,96.99,96.99,323.52,421.74
255.38,373.24,96.99,96.99,303.87,421.74
314.31,353.60,96.99,96.99,362.81,402.10
333.96,353.60,96.99,96.99,382.45,402.10
294.67,333.96,96.99,96.99,343.16,382.45
294.67,294.67,96.99,96.99,343.16,343.16
294.67,255.38,96.99,96.99,343.16,303.87
294.67,235.73,96.99,96.99,343.16,284.23
255.38,255.38,96.99,96.99,303.87,303.87
235.73,255.38,96.99,96.99,284.23,303.87
235.73,255.38,96.99,96.99,284.23,303.87
235.73,255.38,96.99,96.99,284.23,303.87
235.73,255.38,96.99,96.99,284.23,303.87
216.09,255.38,96.99,96.99,264.59,303.87
176.80,235.73,96.99,96.99,225.30,284.23
196.44,196.44,96.99,96.99,244.94,244.94
216.09,176.80,96.99,96.99,264.59,225.30
235.73,196.44,96.99,96.99,284.23,244.94
255.38,196.44,96.99,96.99,303.87,244.94
353.60,235.73,96.99,96.99,402.10,284.23
373.24,235.73,96.99,96.99,421.74,284.23
392.89,235.73,96.99,96.99,441.39,284.23
373.24,235.73,96.99,96.99,421.74,284.23
392.89,235.73,96.99,96.99,441.39,284.23
412.53,235.73,96.99,96.99,461.03,284.23
471.47,196.44,96.99,96.99,519.96,244.94
471.47,196.44,96.99,96.99,519.96,244.94
451.82,196.44,96.99,96.99,500.32,244.94
432.18,216.09,96.99,96.99,480.67,264.59
392.89,216.09,96.99,96.99,441.39,264.59
294.67,392.89,96.99,96.99,343.16,441.39
275.02,392.89,96.99,96.99,323.52,441.39
255.38,412.53,96.99,96.99,303.87,461.03
235.73,432.18,96.99,96.99,284.23,480.67
255.38,432.18,96.99,96.99,303.87,480.67
275.02,412.53,96.99,96.99,323.52,461.03
294.67,412.53,96.99,96.99,343.16,461.03
333.96,392.89,96.99,96.99,382.45,441.39
353.60,412.53,96.99,96.99,402.10,461.03
373.24,432.18,96.99,96.99,421.74,480.67
353.60,432.18,96.99,96.99,402.10,480.67
333.96,412.53,96.99,96.99,382.45,461.03
373.24,451.82,96.99,96.99,421.74,500.32
353.60,432.18,96.99,96.99,402.10,480.67
353.60,471.47,96.99,96.99,402.10,519.96
314.31,451.82,96.99,96.99,362.81,500.32
275.02,471.47,96.99,96.99,323.52,519.96
275.02,432.18,96.99,96.99,323.52,480.67
255.38,451.82,96.99,96.99,303.87,500.32
333.96,471.47,96.99,96.99,382.45,519.96
333.96,569.69,96.99,96.99,382.45,618.19
294.67,530.40,96.99,96.99,343.16,578.90
255.38,491.11,96.99,96.99,303.87,539.61
216.09,432.18,96.99,96.99,264.59,480.67
196.44,392.89,96.99,96.99,244.94,441.39
176.80,353.60,96.99,96.99,225.30,402.10
157.16,314.31,96.99,96.99,205.65,362.81
137.51,255.38,96.99,96.99,186.01,303.87
137.51,196.44,96.99,96.99,186.01,244.94
373.24,550.04,96.99,96.99,421.74,598.54
412.53,530.40,96.99,96.99,461.03,578.90
451.82,510.76,96.99,96.99,500.32,559.25
471.47,471.47,96.99,96.99,519.96,519.96
471.47,432.18,96.99,96.99,519.96,480.67
471.47,373.24,96.99,96.99,519.96,421.74
491.11,314.31,96.99,96.99,539.61,362.81
491.11,255.38,96.99,96.99,539.61,303.87
