40,0
x,y,dx,dy,x_c,y_c
237.82,265.09,65.45,65.45,270.55,297.82
224.73,250.91,65.45,65.45,257.45,283.64
211.64,237.82,65.45,65.45,244.36,270.55
250.91,250.91,65.45,65.45,283.64,283.64
250.91,250.91,65.45,65.45,283.64,283.64
237.82,265.09,65.45,65.45,270.55,297.82
237.82,250.91,65.45,65.45,270.55,283.64
237.82,224.73,65.45,65.45,270.55,257.45
237.82,211.64,65.45,65.45,270.55,244.36
198.55,211.64,65.45,65.45,231.27,244.36
198.55,211.64,65.45,65.45,231.27,244.36
185.45,211.64,65.45,65.45,218.18,244.36
185.45,198.55,65.45,65.45,218.18,231.27
185.45,198.55,65.45,65.45,218.18,231.27
172.36,211.64,65.45,65.45,205.09,244.36
145.09,198.55,65.45,65.45,177.82,231.27
159.27,185.45,65.45,65.45,192.00,218.18
185.45,172.36,65.45,65.45,218.18,205.09
198.55,185.45,65.45,65.45,231.27,218.18
224.73,185.45,65.45,65.45,257.45,218.18
278.18,211.64,65.45,65.45,310.91,244.36
291.27,211.64,65.45,65.45,324.00,244.36
304.36,211.64,65.45,65.45,337.09,244.36
278.18,198.55,65.45,65.45,310.91,231.27
291.27,198.55,65.45,65.45,324.00,231.27
304.36,198.55,65.45,65.45,337.09,231.27
330.55,172.36,65.45,65.45,363.27,205.09
317.45,172.36,65.45,65.45,350.18,205.09
291.27,172.36,65.45,65.45,324.00,205.09
278.18,172.36,65.45,65.45,310.91,205.09
250.91,172.36,65.45,65.45,283.64,205.09
237.82,278.18,65.45,65.45,270.55,310.91
224.73,265.09,65.45,65.45,257.45,297.82
211.64,278.18,65.45,65.45,244.36,310.91
211.64,291.27,65.45,65.45,244.36,324.00
211.64,291.27,65.45,65.45,244.36,324.00
224.73,278.18,65.45,65.45,257.45,310.91
237.82,291.27,65.45,65.45,270.55,324.00
265.09,265.09,65.45,65.45,297.82,297.82
278.18,278.18,65.45,65.45,310.91,310.91
291.27,291.27,65.45,65.45,324.00,324.00
278.18,291.27,65.45,65.45,310.91,324.00
265.09,278.18,65.45,65.45,297.82,310.91
291.27,304.36,65.45,65.45,324.00,337.09
278.18,291.27,65.45,65.45,310.91,324.00
278.18,304.36,65.45,65.45,310.91,337.09
250.91,291.27,65.45,65.45,283.64,324.00
224.73,304.36,65.45,65.45,257.45,337.09
224.73,278.18,65.45,65.45,257.45,310.91
211.64,278.18,65.45,65.45,244.36,310.91
250.91,304.36,65.45,65.45,283.64,337.09
250.91,356.73,65.45,65.45,283.64,389.45
211.64,343.64,65.45,65.45,244.36,376.36
185.45,317.45,65.45,65.45,218.18,350.18
159.27,291.27,65.45,65.45,192.00,324.00
145.09,265.09,65.45,65.45,177.82,297.82
132.00,224.73,65.45,65.45,164.73,257.45
118.91,185.45,65.45,65.45,151.64,218.18
105.82,145.09,65.45,65.45,138.55,177.82
105.82,105.82,65.45,65.45,138.55,138.55
291.27,343.64,65.45,65.45,324.00,376.36
317.45,317.45,65.45,65.45,350.18,350.18
343.64,291.27,65.45,65.45,376.36,324.00
356.73,265.09,65.45,65.45,389.45,297.82
370.91,250.91,65.45,65.45,403.64,283.64
384.00,224.73,65.45,65.45,416.73,257.45
397.09,185.45,65.45,65.45,429.82,218.18
397.09,145.09,65.45,65.45,429.82,177.82
