143,0
x,y,dx,dy,x_c,y_c
146.00,153.00,34.00,34.00,163.00,170.00
139.00,153.00,34.00,34.00,156.00,170.00
132.00,146.00,34.00,34.00,149.00,163.00
153.00,153.00,34.00,34.00,170.00,170.00
160.00,153.00,34.00,34.00,177.00,170.00
146.00,139.00,34.00,34.00,163.00,156.00
146.00,125.00,34.00,34.00,163.00,142.00
146.00,111.00,34.00,34.00,163.00,128.00
146.00,104.00,34.00,34.00,163.00,121.00
125.00,104.00,34.00,34.00,142.00,121.00
125.00,104.00,34.00,34.00,142.00,121.00
118.00,111.00,34.00,34.00,135.00,128.00
118.00,104.00,34.00,34.00,135.00,121.00
111.00,104.00,34.00,34.00,128.00,121.00
104.00,104.00,34.00,34.00,121.00,121.00
84.00,91.00,34.00,34.00,101.00,108.00
91.00,84.00,34.00,34.00,108.00,101.00
98.00,77.00,34.00,34.00,115.00,94.00
111.00,84.00,34.00,34.00,128.00,101.00
125.00,91.00,34.00,34.00,142.00,108.00
167.00,104.00,34.00,34.00,184.00,121.00
174.00,111.00,34.00,34.00,191.00,128.00
181.00,111.00,34.00,34.00,198.00,128.00
174.00,104.00,34.00,34.00,191.00,121.00
181.00,104.00,34.00,34.00,198.00,121.00
188.00,111.00,34.00,34.00,205.00,128.00
202.00,98.00,34.00,34.00,219.00,115.00
195.00,91.00,34.00,34.00,212.00,108.00
181.00,91.00,34.00,34.00,198.00,108.00
174.00,91.00,34.00,34.00,191.00,108.00
160.00,91.00,34.00,34.00,177.00,108.00
146.00,160.00,34.00,34.00,163.00,177.00
132.00,160.00,34.00,34.00,149.00,177.00
125.00,167.00,34.00,34.00,142.00,184.00
118.00,174.00,34.00,34.00,135.00,191.00
118.00,174.00,34.00,34.00,135.00,191.00
125.00,167.00,34.00,34.00,142.00,184.00
146.00,167.00,34.00,34.00,163.00,184.00
160.00,160.00,34.00,34.00,177.00,177.00
167.00,167.00,34.00,34.00,184.00,184.00
174.00,174.00,34.00,34.00,191.00,191.00
174.00,174.00,34.00,34.00,191.00,191.00
167.00,167.00,34.00,34.00,184.00,184.00
167.00,188.00,34.00,34.00,184.00,205.00
160.00,188.00,34.00,34.00,177.00,205.00
160.00,202.00,34.00,34.00,177.00,219.00
146.00,195.00,34.00,34.00,163.00,212.00
132.00,202.00,34.00,34.00,149.00,219.00
132.00,188.00,34.00,34.00,149.00,205.00
125.00,188.00,34.00,34.00,142.00,205.00
146.00,202.00,34.00,34.00,163.00,219.00
146.00,237.00,34.00,34.00,163.00,254.00
118.00,230.00,34.00,34.00,135.00,247.00
104.00,223.00,34.00,34.00,121.00,240.00
91.00,209.00,34.00,34.00,108.00,226.00
77.00,195.00,34.00,34.00,94.00,212.00
70.00,181.00,34.00,34.00,87.00,198.00
63.00,167.00,34.00,34.00,80.00,184.00
56.00,146.00,34.00,34.00,73.00,163.00
56.00,132.00,34.00,34.00,73.00,149.00
160.00,230.00,34.00,34.00,177.00,247.00
174.00,223.00,34.00,34.00,191.00,240.00
188.00,216.00,34.00,34.00,205.00,233.00
195.00,202.00,34.00,34.00,212.00,219.00
195.00,188.00,34.00,34.00,212.00,205.00
195.00,174.00,34.00,34.00,212.00,191.00
202.00,153.00,34.00,34.00,219.00,170.00
202.00,132.00,34.00,34.00,219.00,149.00
