85,0
x,y,dx,dy,x_c,y_c
182.38,385.77,100.59,100.59,232.68,436.06
162.49,385.77,100.59,100.59,212.78,436.06
162.49,385.77,100.59,100.59,212.78,436.06
203.39,385.77,100.59,100.59,253.68,436.06
223.28,385.77,100.59,100.59,273.58,436.06
182.38,344.87,100.59,100.59,232.68,395.17
182.38,305.08,100.59,100.59,232.68,355.37
182.38,264.18,100.59,100.59,232.68,314.47
203.39,244.28,100.59,100.59,253.68,294.58
142.59,264.18,100.59,100.59,192.89,314.47
121.59,264.18,100.59,100.59,171.88,314.47
121.59,264.18,100.59,100.59,171.88,314.47
121.59,264.18,100.59,100.59,171.88,314.47
121.59,264.18,100.59,100.59,171.88,314.47
101.69,264.18,100.59,100.59,151.99,314.47
60.79,223.28,100.59,100.59,111.09,273.58
81.80,203.39,100.59,100.59,132.09,253.68
101.69,182.38,100.59,100.59,151.99,232.68
142.59,203.39,100.59,100.59,192.89,253.68
162.49,223.28,100.59,100.59,212.78,273.58
244.28,264.18,100.59,100.59,294.58,314.47
264.18,284.08,100.59,100.59,314.47,334.37
284.08,284.08,100.59,100.59,334.37,334.37
264.18,264.18,100.59,100.59,314.47,314.47
284.08,264.18,100.59,100.59,334.37,314.47
305.08,284.08,100.59,100.59,355.37,334.37
344.87,244.28,100.59,100.59,395.17,294.58
324.98,223.28,100.59,100.59,375.27,273.58
284.08,223.28,100.59,100.59,334.37,273.58
264.18,223.28,100.59,100.59,314.47,273.58
223.28,223.28,100.59,100.59,273.58,273.58
182.38,406.77,100.59,100.59,232.68,457.07
162.49,406.77,100.59,100.59,212.78,457.07
142.59,426.67,100.59,100.59,192.89,476.96
121.59,446.56,100.59,100.59,171.88,496.86
121.59,446.56,100.59,100.59,171.88,496.86
162.49,426.67,100.59,100.59,212.78,476.96
182.38,426.67,100.59,100.59,232.68,476.96
223.28,406.77,100.59,100.59,273.58,457.07
244.28,426.67,100.59,100.59,294.58,476.96
244.28,426.67,100.59,100.59,294.58,476.96
244.28,426.67,100.59,100.59,294.58,476.96
223.28,426.67,100.59,100.59,273.58,476.96
244.28,467.57,100.59,100.59,294.58,517.86
223.28,446.56,100.59,100.59,273.58,496.86
223.28,467.57,100.59,100.59,273.58,517.86
182.38,446.56,100.59,100.59,232.68,496.86
142.59,467.57,100.59,100.59,192.89,517.86
142.59,426.67,100.59,100.59,192.89,476.96
121.59,446.56,100.59,100.59,171.88,496.86
182.38,467.57,100.59,100.59,232.68,517.86
203.39,528.36,100.59,100.59,253.68,578.66
142.59,507.36,100.59,100.59,192.89,557.65
101.69,487.46,100.59,100.59,151.99,537.76
60.79,446.56,100.59,100.59,111.09,496.86
40.90,406.77,100.59,100.59,91.19,457.07
19.90,344.87,100.59,100.59,70.19,395.17
19.90,284.08,100.59,100.59,70.19,334.37
19.90,203.39,100.59,100.59,70.19,253.68
19.90,142.59,100.59,100.59,70.19,192.89
244.28,507.36,100.59,100.59,294.58,557.65
284.08,467.57,100.59,100.59,334.37,517.86
324.98,426.67,100.59,100.59,375.27,476.96
344.87,365.87,100.59,100.59,395.17,416.17
365.87,305.08,100.59,100.59,416.17,355.37
385.77,244.28,100.59,100.59,436.06,294.58
406.77,182.38,100.59,100.59,457.07,232.68
406.77,121.59,100.59,100.59,457.07,171.88
