169,0
x,y,dx,dy,x_c,y_c
275.18,290.53,75.65,75.65,313.01,328.36
259.83,290.53,75.65,75.65,297.66,328.36
244.49,290.53,75.65,75.65,282.31,328.36
290.53,290.53,75.65,75.65,328.36,328.36
305.88,290.53,75.65,75.65,343.71,328.36
275.18,259.83,75.65,75.65,313.01,297.66
275.18,244.49,75.65,75.65,313.01,282.31
275.18,213.79,75.65,75.65,313.01,251.61
275.18,198.44,75.65,75.65,313.01,236.26
213.79,198.44,75.65,75.65,251.61,236.26
198.44,198.44,75.65,75.65,236.26,236.26
183.09,213.79,75.65,75.65,220.91,251.61
198.44,198.44,75.65,75.65,236.26,236.26
183.09,198.44,75.65,75.65,220.91,236.26
167.74,198.44,75.65,75.65,205.57,236.26
137.04,167.74,75.65,75.65,174.87,205.57
152.39,152.39,75.65,75.65,190.22,190.22
167.74,137.04,75.65,75.65,205.57,174.87
213.79,137.04,75.65,75.65,251.61,174.87
244.49,137.04,75.65,75.65,282.31,174.87
321.23,198.44,75.65,75.65,359.05,236.26
335.48,198.44,75.65,75.65,373.31,236.26
350.83,198.44,75.65,75.65,388.66,236.26
335.48,198.44,75.65,75.65,373.31,236.26
350.83,198.44,75.65,75.65,388.66,236.26
366.18,198.44,75.65,75.65,404.01,236.26
396.88,167.74,75.65,75.65,434.70,205.57
381.53,167.74,75.65,75.65,419.35,205.57
350.83,152.39,75.65,75.65,388.66,190.22
321.23,137.04,75.65,75.65,359.05,174.87
290.53,137.04,75.65,75.65,328.36,174.87
275.18,305.88,75.65,75.65,313.01,343.71
259.83,305.88,75.65,75.65,297.66,343.71
244.49,321.23,75.65,75.65,282.31,359.05
229.14,350.83,75.65,75.65,266.96,388.66
229.14,350.83,75.65,75.65,266.96,388.66
259.83,321.23,75.65,75.65,297.66,359.05
275.18,321.23,75.65,75.65,313.01,359.05
290.53,305.88,75.65,75.65,328.36,343.71
305.88,321.23,75.65,75.65,343.71,359.05
321.23,335.48,75.65,75.65,359.05,373.31
305.88,335.48,75.65,75.65,343.71,373.31
305.88,321.23,75.65,75.65,343.71,359.05
321.23,366.18,75.65,75.65,359.05,404.01
305.88,350.83,75.65,75.65,343.71,388.66
305.88,381.53,75.65,75.65,343.71,419.35
275.18,366.18,75.65,75.65,313.01,404.01
259.83,381.53,75.65,75.65,297.66,419.35
259.83,350.83,75.65,75.65,297.66,388.66
244.49,366.18,75.65,75.65,282.31,404.01
275.18,381.53,75.65,75.65,313.01,419.35
275.18,442.93,75.65,75.65,313.01,480.75
229.14,427.58,75.65,75.65,266.96,465.40
198.44,412.23,75.65,75.65,236.26,450.05
167.74,381.53,75.65,75.65,205.57,419.35
152.39,366.18,75.65,75.65,190.22,404.01
137.04,335.48,75.65,75.65,174.87,373.31
137.04,305.88,75.65,75.65,174.87,343.71
121.69,259.83,75.65,75.65,159.52,297.66
121.69,213.79,75.65,75.65,159.52,251.61
305.88,427.58,75.65,75.65,343.71,465.40
335.48,412.23,75.65,75.65,373.31,450.05
366.18,396.88,75.65,75.65,404.01,434.70
381.53,350.83,75.65,75.65,419.35,388.66
396.88,321.23,75.65,75.65,434.70,359.05
396.88,275.18,75.65,75.65,434.70,313.01
412.23,229.14,75.65,75.65,450.05,266.96
412.23,183.09,75.65,75.65,450.05,220.91
