97,0
x,y,dx,dy,x_c,y_c
206.00,230.00,60.00,60.00,236.00,260.00
194.00,230.00,60.00,60.00,224.00,260.00
182.00,230.00,60.00,60.00,212.00,260.00
218.00,218.00,60.00,60.00,248.00,248.00
218.00,218.00,60.00,60.00,248.00,248.00
206.00,206.00,60.00,60.00,236.00,236.00
206.00,194.00,60.00,60.00,236.00,224.00
206.00,170.00,60.00,60.00,236.00,200.00
218.00,158.00,60.00,60.00,248.00,188.00
182.00,170.00,60.00,60.00,212.00,200.00
182.00,170.00,60.00,60.00,212.00,200.00
170.00,170.00,60.00,60.00,200.00,200.00
170.00,158.00,60.00,60.00,200.00,188.00
170.00,158.00,60.00,60.00,200.00,188.00
158.00,170.00,60.00,60.00,188.00,200.00
121.00,158.00,60.00,60.00,151.00,188.00
133.00,133.00,60.00,60.00,163.00,163.00
146.00,121.00,60.00,60.00,176.00,151.00
170.00,133.00,60.00,60.00,200.00,163.00
194.00,133.00,60.00,60.00,224.00,163.00
255.00,158.00,60.00,60.00,285.00,188.00
267.00,158.00,60.00,60.00,297.00,188.00
267.00,158.00,60.00,60.00,297.00,188.00
267.00,146.00,60.00,60.00,297.00,176.00
267.00,146.00,60.00,60.00,297.00,176.00
279.00,146.00,60.00,60.00,309.00,176.00
303.00,121.00,60.00,60.00,333.00,151.00
291.00,121.00,60.00,60.00,321.00,151.00
267.00,121.00,60.00,60.00,297.00,151.00
255.00,121.00,60.00,60.00,285.00,151.00
243.00,121.00,60.00,60.00,273.00,151.00
206.00,255.00,60.00,60.00,236.00,285.00
182.00,255.00,60.00,60.00,212.00,285.00
170.00,267.00,60.00,60.00,200.00,297.00
158.00,291.00,60.00,60.00,188.00,321.00
170.00,279.00,60.00,60.00,200.00,309.00
182.00,267.00,60.00,60.00,212.00,297.00
206.00,267.00,60.00,60.00,236.00,297.00
230.00,255.00,60.00,60.00,260.00,285.00
243.00,279.00,60.00,60.00,273.00,309.00
255.00,291.00,60.00,60.00,285.00,321.00
255.00,291.00,60.00,60.00,285.00,321.00
230.00,267.00,60.00,60.00,260.00,297.00
255.00,315.00,60.00,60.00,285.00,345.00
243.00,303.00,60.00,60.00,273.00,333.00
243.00,315.00,60.00,60.00,273.00,345.00
206.00,303.00,60.00,60.00,236.00,333.00
182.00,303.00,60.00,60.00,212.00,333.00
182.00,267.00,60.00,60.00,212.00,297.00
170.00,279.00,60.00,60.00,200.00,309.00
206.00,315.00,60.00,60.00,236.00,345.00
206.00,376.00,60.00,60.00,236.00,406.00
182.00,376.00,60.00,60.00,212.00,406.00
158.00,364.00,60.00,60.00,188.00,394.00
133.00,352.00,60.00,60.00,163.00,382.00
121.00,340.00,60.00,60.00,151.00,370.00
109.00,315.00,60.00,60.00,139.00,345.00
97.00,291.00,60.00,60.00,127.00,321.00
85.00,255.00,60.00,60.00,115.00,285.00
85.00,218.00,60.00,60.00,115.00,248.00
230.00,364.00,60.00,60.00,260.00,394.00
255.00,340.00,60.00,60.00,285.00,370.00
267.00,315.00,60.00,60.00,297.00,345.00
279.00,279.00,60.00,60.00,309.00,309.00
291.00,255.00,60.00,60.00,321.00,285.00
291.00,230.00,60.00,60.00,321.00,260.00
303.00,194.00,60.00,60.00,333.00,224.00
303.00,158.00,60.00,60.00,333.00,188.00
