86,30
x,y,dx,dy,x_c,y_c
110.00,147.00,45.00,45.00,132.50,169.50
110.00,147.00,45.00,45.00,132.50,169.50
101.00,147.00,45.00,45.00,123.50,169.50
119.00,147.00,45.00,45.00,141.50,169.50
129.00,147.00,45.00,45.00,151.50,169.50
101.00,129.00,45.00,45.00,123.50,151.50
101.00,119.00,45.00,45.00,123.50,141.50
101.00,101.00,45.00,45.00,123.50,123.50
101.00,92.00,45.00,45.00,123.50,114.50
83.00,92.00,45.00,45.00,105.50,114.50
83.00,101.00,45.00,45.00,105.50,123.50
74.00,101.00,45.00,45.00,96.50,123.50
83.00,92.00,45.00,45.00,105.50,114.50
83.00,92.00,45.00,45.00,105.50,114.50
74.00,101.00,45.00,45.00,96.50,123.50
64.00,74.00,45.00,45.00,86.50,96.50
64.00,74.00,45.00,45.00,86.50,96.50
74.00,74.00,45.00,45.00,96.50,96.50
83.00,83.00,45.00,45.00,105.50,105.50
92.00,83.00,45.00,45.00,114.50,105.50
129.00,92.00,45.00,45.00,151.50,114.50
129.00,101.00,45.00,45.00,151.50,123.50
138.00,101.00,45.00,45.00,160.50,123.50
129.00,92.00,45.00,45.00,151.50,114.50
138.00,92.00,45.00,45.00,160.50,114.50
138.00,92.00,45.00,45.00,160.50,114.50
165.00,74.00,45.00,45.00,187.50,96.50
156.00,64.00,45.00,45.00,178.50,86.50
138.00,64.00,45.00,45.00,160.50,86.50
129.00,74.00,45.00,45.00,151.50,96.50
110.00,74.00,45.00,45.00,132.50,96.50
110.00,156.00,45.00,45.00,132.50,178.50
101.00,156.00,45.00,45.00,123.50,178.50
92.00,156.00,45.00,45.00,114.50,178.50
92.00,165.00,45.00,45.00,114.50,187.50
92.00,156.00,45.00,45.00,114.50,178.50
101.00,156.00,45.00,45.00,123.50,178.50
110.00,165.00,45.00,45.00,132.50,187.50
129.00,156.00,45.00,45.00,151.50,178.50
147.00,156.00,45.00,45.00,169.50,178.50
156.00,156.00,45.00,45.00,178.50,178.50
138.00,156.00,45.00,45.00,160.50,178.50
119.00,156.00,45.00,45.00,141.50,178.50
147.00,165.00,45.00,45.00,169.50,187.50
129.00,156.00,45.00,45.00,151.50,178.50
129.00,175.00,45.00,45.00,151.50,197.50
110.00,156.00,45.00,45.00,132.50,178.50
92.00,165.00,45.00,45.00,114.50,187.50
101.00,156.00,45.00,45.00,123.50,178.50
92.00,165.00,45.00,45.00,114.50,187.50
110.00,175.00,45.00,45.00,132.50,197.50
101.00,221.00,45.00,45.00,123.50,243.50
101.00,211.00,45.00,45.00,123.50,233.50
92.00,193.00,45.00,45.00,114.50,215.50
92.00,184.00,45.00,45.00,114.50,206.50
83.00,165.00,45.00,45.00,105.50,187.50
83.00,147.00,45.00,45.00,105.50,169.50
83.00,129.00,45.00,45.00,105.50,151.50
83.00,119.00,45.00,45.00,105.50,141.50
83.00,110.00,45.00,45.00,105.50,132.50
119.00,211.00,45.00,45.00,141.50,233.50
147.00,211.00,45.00,45.00,169.50,233.50
175.00,211.00,45.00,45.00,197.50,233.50
193.00,193.00,45.00,45.00,215.50,215.50
211.00,175.00,45.00,45.00,233.50,197.50
221.00,156.00,45.00,45.00,243.50,178.50
221.00,129.00,45.00,45.00,243.50,151.50
221.00,101.00,45.00,45.00,243.50,123.50
