62,0
x,y,dx,dy,x_c,y_c
158.00,201.00,52.00,52.00,184.00,227.00
148.00,201.00,52.00,52.00,174.00,227.00
137.00,201.00,52.00,52.00,163.00,227.00
169.00,201.00,52.00,52.00,195.00,227.00
179.00,201.00,52.00,52.00,205.00,227.00
158.00,179.00,52.00,52.00,184.00,205.00
158.00,169.00,52.00,52.00,184.00,195.00
158.00,148.00,52.00,52.00,184.00,174.00
158.00,137.00,52.00,52.00,184.00,163.00
127.00,137.00,52.00,52.00,153.00,163.00
116.00,137.00,52.00,52.00,142.00,163.00
106.00,137.00,52.00,52.00,132.00,163.00
116.00,137.00,52.00,52.00,142.00,163.00
116.00,137.00,52.00,52.00,142.00,163.00
106.00,137.00,52.00,52.00,132.00,163.00
84.00,127.00,52.00,52.00,110.00,153.00
95.00,116.00,52.00,52.00,121.00,142.00
106.00,106.00,52.00,52.00,132.00,132.00
116.00,116.00,52.00,52.00,142.00,142.00
127.00,127.00,52.00,52.00,153.00,153.00
179.00,137.00,52.00,52.00,205.00,163.00
190.00,137.00,52.00,52.00,216.00,163.00
201.00,137.00,52.00,52.00,227.00,163.00
190.00,127.00,52.00,52.00,216.00,153.00
201.00,127.00,52.00,52.00,227.00,153.00
211.00,137.00,52.00,52.00,237.00,163.00
232.00,116.00,52.00,52.00,258.00,142.00
222.00,116.00,52.00,52.00,248.00,142.00
201.00,106.00,52.00,52.00,227.00,132.00
190.00,106.00,52.00,52.00,216.00,132.00
169.00,116.00,52.00,52.00,195.00,142.00
169.00,211.00,52.00,52.00,195.00,237.00
158.00,211.00,52.00,52.00,184.00,237.00
137.00,211.00,52.00,52.00,163.00,237.00
127.00,222.00,52.00,52.00,153.00,248.00
127.00,222.00,52.00,52.00,153.00,248.00
158.00,222.00,52.00,52.00,184.00,248.00
169.00,222.00,52.00,52.00,195.00,248.00
201.00,201.00,52.00,52.00,227.00,227.00
222.00,201.00,52.00,52.00,248.00,227.00
232.00,211.00,52.00,52.00,258.00,237.00
222.00,211.00,52.00,52.00,248.00,237.00
201.00,211.00,52.00,52.00,227.00,237.00
232.00,222.00,52.00,52.00,258.00,248.00
222.00,211.00,52.00,52.00,248.00,237.00
222.00,232.00,52.00,52.00,248.00,258.00
201.00,222.00,52.00,52.00,227.00,248.00
190.00,232.00,52.00,52.00,216.00,258.00
201.00,211.00,52.00,52.00,227.00,237.00
190.00,222.00,52.00,52.00,216.00,248.00
201.00,232.00,52.00,52.00,227.00,258.00
201.00,285.00,52.00,52.00,227.00,311.00
169.00,285.00,52.00,52.00,195.00,311.00
148.00,264.00,52.00,52.00,174.00,290.00
127.00,232.00,52.00,52.00,153.00,258.00
106.00,211.00,52.00,52.00,132.00,237.00
95.00,179.00,52.00,52.00,121.00,205.00
95.00,148.00,52.00,52.00,121.00,174.00
95.00,116.00,52.00,52.00,121.00,142.00
95.00,84.00,52.00,52.00,121.00,110.00
222.00,274.00,52.00,52.00,248.00,300.00
243.00,253.00,52.00,52.00,269.00,279.00
274.00,243.00,52.00,52.00,300.00,269.00
285.00,211.00,52.00,52.00,311.00,237.00
296.00,190.00,52.00,52.00,322.00,216.00
306.00,169.00,52.00,52.00,332.00,195.00
306.00,137.00,52.00,52.00,332.00,163.00
306.00,116.00,52.00,52.00,332.00,142.00
