92,15
x,y,dx,dy,x_c,y_c
237.73,261.39,118.30,118.30,296.88,320.54
214.07,261.39,118.30,118.30,273.22,320.54
190.41,237.73,118.30,118.30,249.56,296.88
237.73,261.39,118.30,118.30,296.88,320.54
261.39,261.39,118.30,118.30,320.54,320.54
237.73,214.07,118.30,118.30,296.88,273.22
237.73,190.41,118.30,118.30,296.88,249.56
237.73,166.75,118.30,118.30,296.88,225.90
237.73,143.09,118.30,118.30,296.88,202.24
190.41,119.43,118.30,118.30,249.56,178.58
166.75,119.43,118.30,118.30,225.90,178.58
143.09,119.43,118.30,118.30,202.24,178.58
166.75,94.64,118.30,118.30,225.90,153.79
166.75,94.64,118.30,118.30,225.90,153.79
143.09,119.43,118.30,118.30,202.24,178.58
94.64,47.32,118.30,118.30,153.79,106.47
119.43,23.66,118.30,118.30,178.58,82.81
143.09,23.66,118.30,118.30,202.24,82.81
166.75,23.66,118.30,118.30,225.90,82.81
190.41,47.32,118.30,118.30,249.56,106.47
308.71,166.75,118.30,118.30,367.86,225.90
333.50,166.75,118.30,118.30,392.65,225.90
357.16,166.75,118.30,118.30,416.31,225.90
333.50,143.09,118.30,118.30,392.65,202.24
333.50,143.09,118.30,118.30,392.65,202.24
357.16,166.75,118.30,118.30,416.31,225.90
428.14,119.43,118.30,118.30,487.29,178.58
404.48,94.64,118.30,118.30,463.63,153.79
357.16,70.98,118.30,118.30,416.31,130.13
333.50,70.98,118.30,118.30,392.65,130.13
285.05,94.64,118.30,118.30,344.20,153.79
214.07,285.05,118.30,118.30,273.22,344.20
166.75,261.39,118.30,118.30,225.90,320.54
143.09,261.39,118.30,118.30,202.24,320.54
119.43,285.05,118.30,118.30,178.58,344.20
143.09,285.05,118.30,118.30,202.24,344.20
166.75,285.05,118.30,118.30,225.90,344.20
214.07,308.71,118.30,118.30,273.22,367.86
261.39,285.05,118.30,118.30,320.54,344.20
285.05,285.05,118.30,118.30,344.20,344.20
308.71,308.71,118.30,118.30,367.86,367.86
285.05,308.71,118.30,118.30,344.20,367.86
261.39,308.71,118.30,118.30,320.54,367.86
285.05,333.50,118.30,118.30,344.20,392.65
237.73,308.71,118.30,118.30,296.88,367.86
214.07,333.50,118.30,118.30,273.22,392.65
190.41,285.05,118.30,118.30,249.56,344.20
143.09,308.71,118.30,118.30,202.24,367.86
166.75,261.39,118.30,118.30,225.90,320.54
143.09,285.05,118.30,118.30,202.24,344.20
190.41,308.71,118.30,118.30,249.56,367.86
190.41,428.14,118.30,118.30,249.56,487.29
166.75,404.48,118.30,118.30,225.90,463.63
143.09,380.82,118.30,118.30,202.24,439.97
119.43,333.50,118.30,118.30,178.58,392.65
94.64,308.71,118.30,118.30,153.79,367.86
94.64,261.39,118.30,118.30,153.79,320.54
70.98,214.07,118.30,118.30,130.13,273.22
70.98,190.41,118.30,118.30,130.13,249.56
70.98,143.09,118.30,118.30,130.13,202.24
261.39,404.48,118.30,118.30,320.54,463.63
308.71,357.16,118.30,118.30,367.86,416.31
380.82,333.50,118.30,118.30,439.97,392.65
404.48,285.05,118.30,118.30,463.63,344.20
451.80,214.07,118.30,118.30,510.95,273.22
475.46,166.75,118.30,118.30,534.61,225.90
499.12,94.64,118.30,118.30,558.27,153.79
499.12,47.32,118.30,118.30,558.27,106.47
