212,0
x,y,dx,dy,x_c,y_c
258.55,319.64,75.27,75.27,296.18,357.27
243.27,319.64,75.27,75.27,280.91,357.27
228.00,319.64,75.27,75.27,265.64,357.27
273.82,304.36,75.27,75.27,311.45,342.00
289.09,304.36,75.27,75.27,326.73,342.00
258.55,289.09,75.27,75.27,296.18,326.73
258.55,273.82,75.27,75.27,296.18,311.45
258.55,243.27,75.27,75.27,296.18,280.91
258.55,212.73,75.27,75.27,296.18,250.36
212.73,212.73,75.27,75.27,250.36,250.36
197.45,212.73,75.27,75.27,235.09,250.36
182.18,212.73,75.27,75.27,219.82,250.36
197.45,197.45,75.27,75.27,235.09,235.09
182.18,197.45,75.27,75.27,219.82,235.09
166.91,212.73,75.27,75.27,204.55,250.36
136.36,182.18,75.27,75.27,174.00,219.82
151.64,166.91,75.27,75.27,189.27,204.55
166.91,151.64,75.27,75.27,204.55,189.27
197.45,166.91,75.27,75.27,235.09,204.55
212.73,166.91,75.27,75.27,250.36,204.55
304.36,212.73,75.27,75.27,342.00,250.36
319.64,228.00,75.27,75.27,357.27,265.64
333.82,228.00,75.27,75.27,371.45,265.64
319.64,212.73,75.27,75.27,357.27,250.36
333.82,212.73,75.27,75.27,371.45,250.36
349.09,212.73,75.27,75.27,386.73,250.36
379.64,182.18,75.27,75.27,417.27,219.82
364.36,166.91,75.27,75.27,402.00,204.55
333.82,166.91,75.27,75.27,371.45,204.55
319.64,166.91,75.27,75.27,357.27,204.55
289.09,166.91,75.27,75.27,326.73,204.55
258.55,333.82,75.27,75.27,296.18,371.45
243.27,333.82,75.27,75.27,280.91,371.45
228.00,349.09,75.27,75.27,265.64,386.73
212.73,364.36,75.27,75.27,250.36,402.00
228.00,364.36,75.27,75.27,265.64,402.00
243.27,349.09,75.27,75.27,280.91,386.73
258.55,349.09,75.27,75.27,296.18,386.73
289.09,333.82,75.27,75.27,326.73,371.45
304.36,349.09,75.27,75.27,342.00,386.73
319.64,349.09,75.27,75.27,357.27,386.73
304.36,349.09,75.27,75.27,342.00,386.73
289.09,349.09,75.27,75.27,326.73,386.73
304.36,364.36,75.27,75.27,342.00,402.00
289.09,349.09,75.27,75.27,326.73,386.73
289.09,379.64,75.27,75.27,326.73,417.27
258.55,364.36,75.27,75.27,296.18,402.00
228.00,379.64,75.27,75.27,265.64,417.27
228.00,349.09,75.27,75.27,265.64,386.73
212.73,364.36,75.27,75.27,250.36,402.00
258.55,379.64,75.27,75.27,296.18,417.27
273.82,440.73,75.27,75.27,311.45,478.36
228.00,440.73,75.27,75.27,265.64,478.36
197.45,410.18,75.27,75.27,235.09,447.82
166.91,379.64,75.27,75.27,204.55,417.27
151.64,349.09,75.27,75.27,189.27,386.73
136.36,319.64,75.27,75.27,174.00,357.27
121.09,289.09,75.27,75.27,158.73,326.73
106.91,243.27,75.27,75.27,144.55,280.91
106.91,197.45,75.27,75.27,144.55,235.09
304.36,425.45,75.27,75.27,342.00,463.09
333.82,394.91,75.27,75.27,371.45,432.55
364.36,364.36,75.27,75.27,402.00,402.00
379.64,319.64,75.27,75.27,417.27,357.27
394.91,289.09,75.27,75.27,432.55,326.73
410.18,243.27,75.27,75.27,447.82,280.91
425.45,197.45,75.27,75.27,463.09,235.09
425.45,166.91,75.27,75.27,463.09,204.55
