40,0
x,y,dx,dy,x_c,y_c
250.91,291.27,65.45,65.45,283.64,324.00
250.91,291.27,65.45,65.45,283.64,324.00
237.82,291.27,65.45,65.45,270.55,324.00
265.09,291.27,65.45,65.45,297.82,324.00
265.09,291.27,65.45,65.45,297.82,324.00
250.91,265.09,65.45,65.45,283.64,297.82
250.91,250.91,65.45,65.45,283.64,283.64
250.91,224.73,65.45,65.45,283.64,257.45
265.09,211.64,65.45,65.45,297.82,244.36
224.73,211.64,65.45,65.45,257.45,244.36
211.64,211.64,65.45,65.45,244.36,244.36
211.64,211.64,65.45,65.45,244.36,244.36
211.64,198.55,65.45,65.45,244.36,231.27
198.55,198.55,65.45,65.45,231.27,231.27
185.45,198.55,65.45,65.45,218.18,231.27
159.27,172.36,65.45,65.45,192.00,205.09
172.36,145.09,65.45,65.45,205.09,177.82
185.45,132.00,65.45,65.45,218.18,164.73
198.55,132.00,65.45,65.45,231.27,164.73
211.64,132.00,65.45,65.45,244.36,164.73
304.36,211.64,65.45,65.45,337.09,244.36
317.45,211.64,65.45,65.45,350.18,244.36
330.55,211.64,65.45,65.45,363.27,244.36
317.45,211.64,65.45,65.45,350.18,244.36
330.55,211.64,65.45,65.45,363.27,244.36
343.64,211.64,65.45,65.45,376.36,244.36
370.91,185.45,65.45,65.45,403.64,218.18
356.73,172.36,65.45,65.45,389.45,205.09
343.64,172.36,65.45,65.45,376.36,205.09
330.55,185.45,65.45,65.45,363.27,218.18
304.36,185.45,65.45,65.45,337.09,218.18
250.91,304.36,65.45,65.45,283.64,337.09
237.82,304.36,65.45,65.45,270.55,337.09
224.73,317.45,65.45,65.45,257.45,350.18
211.64,330.55,65.45,65.45,244.36,363.27
224.73,330.55,65.45,65.45,257.45,363.27
237.82,317.45,65.45,65.45,270.55,350.18
250.91,317.45,65.45,65.45,283.64,350.18
278.18,291.27,65.45,65.45,310.91,324.00
304.36,291.27,65.45,65.45,337.09,324.00
317.45,304.36,65.45,65.45,350.18,337.09
304.36,304.36,65.45,65.45,337.09,337.09
278.18,317.45,65.45,65.45,310.91,350.18
304.36,317.45,65.45,65.45,337.09,350.18
291.27,304.36,65.45,65.45,324.00,337.09
291.27,317.45,65.45,65.45,324.00,350.18
265.09,304.36,65.45,65.45,297.82,337.09
237.82,317.45,65.45,65.45,270.55,350.18
237.82,291.27,65.45,65.45,270.55,324.00
224.73,304.36,65.45,65.45,257.45,337.09
265.09,317.45,65.45,65.45,297.82,350.18
265.09,370.91,65.45,65.45,297.82,403.64
237.82,356.73,65.45,65.45,270.55,389.45
211.64,330.55,65.45,65.45,244.36,363.27
185.45,291.27,65.45,65.45,218.18,324.00
172.36,278.18,65.45,65.45,205.09,310.91
159.27,250.91,65.45,65.45,192.00,283.64
145.09,224.73,65.45,65.45,177.82,257.45
132.00,185.45,65.45,65.45,164.73,218.18
132.00,159.27,65.45,65.45,164.73,192.00
291.27,356.73,65.45,65.45,324.00,389.45
317.45,330.55,65.45,65.45,350.18,363.27
343.64,304.36,65.45,65.45,376.36,337.09
356.73,250.91,65.45,65.45,389.45,283.64
370.91,211.64,65.45,65.45,403.64,244.36
384.00,172.36,65.45,65.45,416.73,205.09
397.09,132.00,65.45,65.45,429.82,164.73
397.09,92.73,65.45,65.45,429.82,125.45
