100,-30
x,y,dx,dy,x_c,y_c
206.00,230.00,60.00,60.00,236.00,260.00
194.00,230.00,60.00,60.00,224.00,260.00
194.00,230.00,60.00,60.00,224.00,260.00
218.00,230.00,60.00,60.00,248.00,260.00
230.00,218.00,60.00,60.00,260.00,248.00
218.00,206.00,60.00,60.00,248.00,236.00
218.00,194.00,60.00,60.00,248.00,224.00
206.00,170.00,60.00,60.00,236.00,200.00
206.00,158.00,60.00,60.00,236.00,188.00
170.00,158.00,60.00,60.00,200.00,188.00
158.00,158.00,60.00,60.00,188.00,188.00
146.00,158.00,60.00,60.00,176.00,188.00
158.00,146.00,60.00,60.00,188.00,176.00
146.00,146.00,60.00,60.00,176.00,176.00
133.00,158.00,60.00,60.00,163.00,188.00
97.00,133.00,60.00,60.00,127.00,163.00
109.00,121.00,60.00,60.00,139.00,151.00
133.00,109.00,60.00,60.00,163.00,139.00
158.00,121.00,60.00,60.00,188.00,151.00
182.00,133.00,60.00,60.00,212.00,163.00
230.00,158.00,60.00,60.00,260.00,188.00
243.00,158.00,60.00,60.00,273.00,188.00
243.00,158.00,60.00,60.00,273.00,188.00
243.00,146.00,60.00,60.00,273.00,176.00
243.00,146.00,60.00,60.00,273.00,176.00
243.00,158.00,60.00,60.00,273.00,188.00
255.00,121.00,60.00,60.00,285.00,151.00
255.00,121.00,60.00,60.00,285.00,151.00
243.00,121.00,60.00,60.00,273.00,151.00
243.00,121.00,60.00,60.00,273.00,151.00
230.00,121.00,60.00,60.00,260.00,151.00
206.00,243.00,60.00,60.00,236.00,273.00
194.00,243.00,60.00,60.00,224.00,273.00
182.00,255.00,60.00,60.00,212.00,285.00
170.00,267.00,60.00,60.00,200.00,297.00
182.00,255.00,60.00,60.00,212.00,285.00
194.00,255.00,60.00,60.00,224.00,285.00
206.00,255.00,60.00,60.00,236.00,285.00
218.00,243.00,60.00,60.00,248.00,273.00
218.00,243.00,60.00,60.00,248.00,273.00
230.00,243.00,60.00,60.00,260.00,273.00
218.00,255.00,60.00,60.00,248.00,285.00
218.00,255.00,60.00,60.00,248.00,285.00
218.00,255.00,60.00,60.00,248.00,285.00
206.00,243.00,60.00,60.00,236.00,273.00
206.00,255.00,60.00,60.00,236.00,285.00
194.00,243.00,60.00,60.00,224.00,273.00
182.00,267.00,60.00,60.00,212.00,297.00
182.00,255.00,60.00,60.00,212.00,285.00
170.00,267.00,60.00,60.00,200.00,297.00
194.00,255.00,60.00,60.00,224.00,285.00
194.00,315.00,60.00,60.00,224.00,345.00
158.00,315.00,60.00,60.00,188.00,345.00
133.00,303.00,60.00,60.00,163.00,333.00
109.00,291.00,60.00,60.00,139.00,321.00
97.00,279.00,60.00,60.00,127.00,309.00
73.00,255.00,60.00,60.00,103.00,285.00
61.00,218.00,60.00,60.00,91.00,248.00
61.00,194.00,60.00,60.00,91.00,224.00
61.00,158.00,60.00,60.00,91.00,188.00
218.00,303.00,60.00,60.00,248.00,333.00
230.00,279.00,60.00,60.00,260.00,309.00
230.00,255.00,60.00,60.00,260.00,285.00
243.00,230.00,60.00,60.00,273.00,260.00
255.00,218.00,60.00,60.00,285.00,248.00
255.00,194.00,60.00,60.00,285.00,224.00
243.00,170.00,60.00,60.00,273.00,200.00
230.00,146.00,60.00,60.00,260.00,176.00
