115,0
x,y,dx,dy,x_c,y_c
181.00,209.00,69.00,69.00,215.50,243.50
181.00,209.00,69.00,69.00,215.50,243.50
167.00,209.00,69.00,69.00,201.50,243.50
195.00,209.00,69.00,69.00,229.50,243.50
209.00,209.00,69.00,69.00,243.50,243.50
181.00,195.00,69.00,69.00,215.50,229.50
181.00,181.00,69.00,69.00,215.50,215.50
181.00,153.00,69.00,69.00,215.50,187.50
181.00,139.00,69.00,69.00,215.50,173.50
153.00,139.00,69.00,69.00,187.50,173.50
153.00,139.00,69.00,69.00,187.50,173.50
139.00,139.00,69.00,69.00,173.50,173.50
139.00,139.00,69.00,69.00,173.50,173.50
139.00,139.00,69.00,69.00,173.50,173.50
125.00,139.00,69.00,69.00,159.50,173.50
84.00,125.00,69.00,69.00,118.50,159.50
98.00,111.00,69.00,69.00,132.50,145.50
111.00,98.00,69.00,69.00,145.50,132.50
139.00,111.00,69.00,69.00,173.50,145.50
153.00,111.00,69.00,69.00,187.50,145.50
223.00,139.00,69.00,69.00,257.50,173.50
237.00,139.00,69.00,69.00,271.50,173.50
237.00,139.00,69.00,69.00,271.50,173.50
223.00,125.00,69.00,69.00,257.50,159.50
237.00,125.00,69.00,69.00,271.50,159.50
251.00,125.00,69.00,69.00,285.50,159.50
279.00,98.00,69.00,69.00,313.50,132.50
265.00,98.00,69.00,69.00,299.50,132.50
237.00,98.00,69.00,69.00,271.50,132.50
223.00,98.00,69.00,69.00,257.50,132.50
195.00,98.00,69.00,69.00,229.50,132.50
181.00,223.00,69.00,69.00,215.50,257.50
167.00,223.00,69.00,69.00,201.50,257.50
153.00,237.00,69.00,69.00,187.50,271.50
139.00,251.00,69.00,69.00,173.50,285.50
139.00,251.00,69.00,69.00,173.50,285.50
167.00,237.00,69.00,69.00,201.50,271.50
181.00,237.00,69.00,69.00,215.50,271.50
209.00,223.00,69.00,69.00,243.50,257.50
223.00,223.00,69.00,69.00,257.50,257.50
237.00,237.00,69.00,69.00,271.50,271.50
223.00,237.00,69.00,69.00,257.50,271.50
223.00,237.00,69.00,69.00,257.50,271.50
223.00,251.00,69.00,69.00,257.50,285.50
209.00,237.00,69.00,69.00,243.50,271.50
209.00,265.00,69.00,69.00,243.50,299.50
181.00,251.00,69.00,69.00,215.50,285.50
153.00,265.00,69.00,69.00,187.50,299.50
139.00,237.00,69.00,69.00,173.50,271.50
125.00,237.00,69.00,69.00,159.50,271.50
181.00,265.00,69.00,69.00,215.50,299.50
181.00,334.00,69.00,69.00,215.50,368.50
153.00,320.00,69.00,69.00,187.50,354.50
125.00,306.00,69.00,69.00,159.50,340.50
98.00,279.00,69.00,69.00,132.50,313.50
84.00,251.00,69.00,69.00,118.50,285.50
70.00,223.00,69.00,69.00,104.50,257.50
56.00,195.00,69.00,69.00,90.50,229.50
56.00,153.00,69.00,69.00,90.50,187.50
56.00,125.00,69.00,69.00,90.50,159.50
209.00,320.00,69.00,69.00,243.50,354.50
237.00,306.00,69.00,69.00,271.50,340.50
265.00,293.00,69.00,69.00,299.50,327.50
279.00,265.00,69.00,69.00,313.50,299.50
293.00,237.00,69.00,69.00,327.50,271.50
306.00,209.00,69.00,69.00,340.50,243.50
306.00,167.00,69.00,69.00,340.50,201.50
306.00,139.00,69.00,69.00,340.50,173.50
