90,0
x,y,dx,dy,x_c,y_c
138.00,165.00,45.00,45.00,160.50,187.50
129.00,165.00,45.00,45.00,151.50,187.50
119.00,165.00,45.00,45.00,141.50,187.50
147.00,165.00,45.00,45.00,169.50,187.50
156.00,165.00,45.00,45.00,178.50,187.50
138.00,147.00,45.00,45.00,160.50,169.50
138.00,138.00,45.00,45.00,160.50,160.50
138.00,119.00,45.00,45.00,160.50,141.50
138.00,110.00,45.00,45.00,160.50,132.50
110.00,119.00,45.00,45.00,132.50,141.50
101.00,119.00,45.00,45.00,123.50,141.50
101.00,119.00,45.00,45.00,123.50,141.50
101.00,110.00,45.00,45.00,123.50,132.50
101.00,110.00,45.00,45.00,123.50,132.50
92.00,119.00,45.00,45.00,114.50,141.50
74.00,101.00,45.00,45.00,96.50,123.50
83.00,92.00,45.00,45.00,105.50,114.50
92.00,92.00,45.00,45.00,114.50,114.50
110.00,92.00,45.00,45.00,132.50,114.50
119.00,92.00,45.00,45.00,141.50,114.50
156.00,110.00,45.00,45.00,178.50,132.50
165.00,110.00,45.00,45.00,187.50,132.50
165.00,110.00,45.00,45.00,187.50,132.50
165.00,110.00,45.00,45.00,187.50,132.50
175.00,110.00,45.00,45.00,197.50,132.50
184.00,110.00,45.00,45.00,206.50,132.50
202.00,101.00,45.00,45.00,224.50,123.50
193.00,101.00,45.00,45.00,215.50,123.50
175.00,92.00,45.00,45.00,197.50,114.50
165.00,92.00,45.00,45.00,187.50,114.50
147.00,92.00,45.00,45.00,169.50,114.50
138.00,175.00,45.00,45.00,160.50,197.50
119.00,175.00,45.00,45.00,141.50,197.50
110.00,175.00,45.00,45.00,132.50,197.50
101.00,184.00,45.00,45.00,123.50,206.50
101.00,184.00,45.00,45.00,123.50,206.50
110.00,184.00,45.00,45.00,132.50,206.50
138.00,184.00,45.00,45.00,160.50,206.50
156.00,175.00,45.00,45.00,178.50,197.50
165.00,184.00,45.00,45.00,187.50,206.50
175.00,184.00,45.00,45.00,197.50,206.50
165.00,184.00,45.00,45.00,187.50,206.50
156.00,184.00,45.00,45.00,178.50,206.50
165.00,193.00,45.00,45.00,187.50,215.50
156.00,184.00,45.00,45.00,178.50,206.50
156.00,202.00,45.00,45.00,178.50,224.50
138.00,193.00,45.00,45.00,160.50,215.50
110.00,202.00,45.00,45.00,132.50,224.50
110.00,184.00,45.00,45.00,132.50,206.50
101.00,193.00,45.00,45.00,123.50,215.50
138.00,202.00,45.00,45.00,160.50,224.50
147.00,239.00,45.00,45.00,169.50,261.50
129.00,230.00,45.00,45.00,151.50,252.50
110.00,211.00,45.00,45.00,132.50,233.50
92.00,184.00,45.00,45.00,114.50,206.50
74.00,165.00,45.00,45.00,96.50,187.50
64.00,138.00,45.00,45.00,86.50,160.50
55.00,110.00,45.00,45.00,77.50,132.50
46.00,83.00,45.00,45.00,68.50,105.50
46.00,55.00,45.00,45.00,68.50,77.50
165.00,230.00,45.00,45.00,187.50,252.50
184.00,211.00,45.00,45.00,206.50,233.50
193.00,193.00,45.00,45.00,215.50,215.50
202.00,165.00,45.00,45.00,224.50,187.50
211.00,138.00,45.00,45.00,233.50,160.50
221.00,119.00,45.00,45.00,243.50,141.50
230.00,92.00,45.00,45.00,252.50,114.50
230.00,74.00,45.00,45.00,252.50,96.50
