124,0
x,y,dx,dy,x_c,y_c
265.14,293.96,69.17,69.17,299.73,328.55
251.31,293.96,69.17,69.17,285.89,328.55
237.47,293.96,69.17,69.17,272.06,328.55
280.13,293.96,69.17,69.17,314.71,328.55
293.96,293.96,69.17,69.17,328.55,328.55
265.14,265.14,69.17,69.17,299.73,299.73
265.14,251.31,69.17,69.17,299.73,285.89
265.14,223.64,69.17,69.17,299.73,258.23
280.13,209.81,69.17,69.17,314.71,244.39
237.47,223.64,69.17,69.17,272.06,258.23
223.64,223.64,69.17,69.17,258.23,258.23
209.81,223.64,69.17,69.17,244.39,258.23
223.64,209.81,69.17,69.17,258.23,244.39
209.81,209.81,69.17,69.17,244.39,244.39
195.97,209.81,69.17,69.17,230.56,244.39
168.31,182.14,69.17,69.17,202.89,216.72
182.14,168.31,69.17,69.17,216.72,202.89
195.97,153.32,69.17,69.17,230.56,187.90
223.64,153.32,69.17,69.17,258.23,187.90
237.47,153.32,69.17,69.17,272.06,187.90
321.63,223.64,69.17,69.17,356.21,258.23
335.46,223.64,69.17,69.17,370.05,258.23
349.30,223.64,69.17,69.17,383.88,258.23
335.46,209.81,69.17,69.17,370.05,244.39
349.30,209.81,69.17,69.17,383.88,244.39
363.13,223.64,69.17,69.17,397.71,258.23
391.95,195.97,69.17,69.17,426.53,230.56
391.95,182.14,69.17,69.17,426.53,216.72
363.13,168.31,69.17,69.17,397.71,202.89
335.46,168.31,69.17,69.17,370.05,202.89
307.80,168.31,69.17,69.17,342.38,202.89
265.14,321.63,69.17,69.17,299.73,356.21
251.31,321.63,69.17,69.17,285.89,356.21
237.47,321.63,69.17,69.17,272.06,356.21
223.64,335.46,69.17,69.17,258.23,370.05
237.47,335.46,69.17,69.17,272.06,370.05
251.31,335.46,69.17,69.17,285.89,370.05
265.14,335.46,69.17,69.17,299.73,370.05
293.96,321.63,69.17,69.17,328.55,356.21
307.80,321.63,69.17,69.17,342.38,356.21
321.63,335.46,69.17,69.17,356.21,370.05
307.80,335.46,69.17,69.17,342.38,370.05
293.96,335.46,69.17,69.17,328.55,370.05
307.80,349.30,69.17,69.17,342.38,383.88
293.96,335.46,69.17,69.17,328.55,370.05
293.96,349.30,69.17,69.17,328.55,383.88
265.14,335.46,69.17,69.17,299.73,370.05
251.31,349.30,69.17,69.17,285.89,383.88
251.31,335.46,69.17,69.17,285.89,370.05
237.47,349.30,69.17,69.17,272.06,383.88
265.14,349.30,69.17,69.17,299.73,383.88
280.13,405.78,69.17,69.17,314.71,440.37
251.31,391.95,69.17,69.17,285.89,426.53
223.64,363.13,69.17,69.17,258.23,397.71
195.97,335.46,69.17,69.17,230.56,370.05
168.31,321.63,69.17,69.17,202.89,356.21
153.32,293.96,69.17,69.17,187.90,328.55
153.32,265.14,69.17,69.17,187.90,299.73
139.49,223.64,69.17,69.17,174.07,258.23
139.49,182.14,69.17,69.17,174.07,216.72
307.80,391.95,69.17,69.17,342.38,426.53
335.46,363.13,69.17,69.17,370.05,397.71
376.96,335.46,69.17,69.17,411.55,370.05
391.95,293.96,69.17,69.17,426.53,328.55
405.78,265.14,69.17,69.17,440.37,299.73
419.62,237.47,69.17,69.17,454.20,272.06
433.45,195.97,69.17,69.17,468.03,230.56
433.45,168.31,69.17,69.17,468.03,202.89
