164,0
x,y,dx,dy,x_c,y_c
233.57,283.62,82.38,82.38,274.76,324.81
233.57,283.62,82.38,82.38,274.76,324.81
216.89,266.94,82.38,82.38,258.07,308.13
250.25,266.94,82.38,82.38,291.44,308.13
266.94,266.94,82.38,82.38,308.13,308.13
233.57,250.25,82.38,82.38,274.76,291.44
233.57,233.57,82.38,82.38,274.76,274.76
233.57,200.20,82.38,82.38,274.76,241.39
233.57,183.52,82.38,82.38,274.76,224.71
200.20,183.52,82.38,82.38,241.39,224.71
183.52,183.52,82.38,82.38,224.71,224.71
183.52,183.52,82.38,82.38,224.71,224.71
183.52,183.52,82.38,82.38,224.71,224.71
183.52,183.52,82.38,82.38,224.71,224.71
166.84,183.52,82.38,82.38,208.02,224.71
133.47,166.84,82.38,82.38,174.66,208.02
150.15,150.15,82.38,82.38,191.34,191.34
166.84,133.47,82.38,82.38,208.02,174.66
200.20,150.15,82.38,82.38,241.39,191.34
216.89,150.15,82.38,82.38,258.07,191.34
266.94,183.52,82.38,82.38,308.13,224.71
283.62,183.52,82.38,82.38,324.81,224.71
300.31,183.52,82.38,82.38,341.49,224.71
283.62,166.84,82.38,82.38,324.81,208.02
300.31,166.84,82.38,82.38,341.49,208.02
316.99,183.52,82.38,82.38,358.18,224.71
367.04,150.15,82.38,82.38,408.23,191.34
350.36,150.15,82.38,82.38,391.54,191.34
316.99,133.47,82.38,82.38,358.18,174.66
300.31,133.47,82.38,82.38,341.49,174.66
266.94,150.15,82.38,82.38,308.13,191.34
233.57,300.31,82.38,82.38,274.76,341.49
216.89,300.31,82.38,82.38,258.07,341.49
216.89,316.99,82.38,82.38,258.07,358.18
200.20,333.67,82.38,82.38,241.39,374.86
216.89,333.67,82.38,82.38,258.07,374.86
216.89,316.99,82.38,82.38,258.07,358.18
233.57,316.99,82.38,82.38,274.76,358.18
266.94,300.31,82.38,82.38,308.13,341.49
283.62,316.99,82.38,82.38,324.81,358.18
300.31,333.67,82.38,82.38,341.49,374.86
283.62,316.99,82.38,82.38,324.81,358.18
283.62,316.99,82.38,82.38,324.81,358.18
283.62,350.36,82.38,82.38,324.81,391.54
266.94,333.67,82.38,82.38,308.13,374.86
266.94,350.36,82.38,82.38,308.13,391.54
233.57,333.67,82.38,82.38,274.76,374.86
216.89,350.36,82.38,82.38,258.07,391.54
233.57,316.99,82.38,82.38,274.76,358.18
216.89,333.67,82.38,82.38,258.07,374.86
233.57,350.36,82.38,82.38,274.76,391.54
250.25,433.77,82.38,82.38,291.44,474.96
200.20,417.09,82.38,82.38,241.39,458.28
166.84,383.72,82.38,82.38,208.02,424.91
133.47,350.36,82.38,82.38,174.66,391.54
100.10,333.67,82.38,82.38,141.29,374.86
83.42,300.31,82.38,82.38,124.61,341.49
83.42,266.94,82.38,82.38,124.61,308.13
66.73,216.89,82.38,82.38,107.92,258.07
66.73,166.84,82.38,82.38,107.92,208.02
283.62,417.09,82.38,82.38,324.81,458.28
316.99,383.72,82.38,82.38,358.18,424.91
350.36,350.36,82.38,82.38,391.54,391.54
367.04,316.99,82.38,82.38,408.23,358.18
383.72,283.62,82.38,82.38,424.91,324.81
400.41,250.25,82.38,82.38,441.59,291.44
417.09,200.20,82.38,82.38,458.28,241.39
417.09,166.84,82.38,82.38,458.28,208.02
