114,0
x,y,dx,dy,x_c,y_c
108.00,112.00,19.00,19.00,117.50,121.50
104.00,112.00,19.00,19.00,113.50,121.50
100.00,108.00,19.00,19.00,109.50,117.50
112.00,108.00,19.00,19.00,121.50,117.50
116.00,108.00,19.00,19.00,125.50,117.50
108.00,104.00,19.00,19.00,117.50,113.50
108.00,100.00,19.00,19.00,117.50,109.50
108.00,92.00,19.00,19.00,117.50,101.50
108.00,88.00,19.00,19.00,117.50,97.50
96.00,88.00,19.00,19.00,105.50,97.50
96.00,92.00,19.00,19.00,105.50,101.50
92.00,92.00,19.00,19.00,101.50,101.50
92.00,88.00,19.00,19.00,101.50,97.50
92.00,88.00,19.00,19.00,101.50,97.50
88.00,92.00,19.00,19.00,97.50,101.50
76.00,88.00,19.00,19.00,85.50,97.50
80.00,80.00,19.00,19.00,89.50,89.50
88.00,76.00,19.00,19.00,97.50,85.50
96.00,76.00,19.00,19.00,105.50,85.50
100.00,76.00,19.00,19.00,109.50,85.50
120.00,88.00,19.00,19.00,129.50,97.50
124.00,88.00,19.00,19.00,133.50,97.50
128.00,88.00,19.00,19.00,137.50,97.50
124.00,84.00,19.00,19.00,133.50,93.50
128.00,84.00,19.00,19.00,137.50,93.50
132.00,88.00,19.00,19.00,141.50,97.50
144.00,84.00,19.00,19.00,153.50,93.50
140.00,80.00,19.00,19.00,149.50,89.50
136.00,76.00,19.00,19.00,145.50,85.50
128.00,76.00,19.00,19.00,137.50,85.50
120.00,76.00,19.00,19.00,129.50,85.50
108.00,116.00,19.00,19.00,117.50,125.50
104.00,116.00,19.00,19.00,113.50,125.50
100.00,116.00,19.00,19.00,109.50,125.50
96.00,120.00,19.00,19.00,105.50,129.50
100.00,120.00,19.00,19.00,109.50,129.50
104.00,120.00,19.00,19.00,113.50,129.50
108.00,120.00,19.00,19.00,117.50,129.50
116.00,112.00,19.00,19.00,125.50,121.50
120.00,116.00,19.00,19.00,129.50,125.50
124.00,120.00,19.00,19.00,133.50,129.50
120.00,116.00,19.00,19.00,129.50,125.50
120.00,116.00,19.00,19.00,129.50,125.50
124.00,128.00,19.00,19.00,133.50,137.50
120.00,124.00,19.00,19.00,129.50,133.50
120.00,128.00,19.00,19.00,129.50,137.50
112.00,124.00,19.00,19.00,121.50,133.50
108.00,128.00,19.00,19.00,117.50,137.50
108.00,120.00,19.00,19.00,117.50,129.50
104.00,124.00,19.00,19.00,113.50,133.50
112.00,128.00,19.00,19.00,121.50,137.50
112.00,148.00,19.00,19.00,121.50,157.50
100.00,144.00,19.00,19.00,109.50,153.50
92.00,136.00,19.00,19.00,101.50,145.50
84.00,128.00,19.00,19.00,93.50,137.50
76.00,124.00,19.00,19.00,85.50,133.50
72.00,116.00,19.00,19.00,81.50,125.50
68.00,108.00,19.00,19.00,77.50,117.50
64.00,96.00,19.00,19.00,73.50,105.50
64.00,88.00,19.00,19.00,73.50,97.50
120.00,144.00,19.00,19.00,129.50,153.50
128.00,140.00,19.00,19.00,137.50,149.50
136.00,136.00,19.00,19.00,145.50,145.50
140.00,128.00,19.00,19.00,149.50,137.50
144.00,124.00,19.00,19.00,153.50,133.50
148.00,116.00,19.00,19.00,157.50,125.50
152.00,104.00,19.00,19.00,161.50,113.50
152.00,92.00,19.00,19.00,161.50,101.50
