64,0
x,y,dx,dy,x_c,y_c
230.83,308.14,76.21,76.21,268.94,346.25
215.37,308.14,76.21,76.21,253.47,346.25
199.91,308.14,76.21,76.21,238.01,346.25
261.76,308.14,76.21,76.21,299.86,346.25
277.22,308.14,76.21,76.21,315.32,346.25
230.83,277.22,76.21,76.21,268.94,315.32
230.83,261.76,76.21,76.21,268.94,299.86
230.83,230.83,76.21,76.21,268.94,268.94
230.83,215.37,76.21,76.21,268.94,253.47
184.45,215.37,76.21,76.21,222.55,253.47
168.98,230.83,76.21,76.21,207.09,268.94
168.98,230.83,76.21,76.21,207.09,268.94
168.98,215.37,76.21,76.21,207.09,253.47
168.98,215.37,76.21,76.21,207.09,253.47
153.52,215.37,76.21,76.21,191.62,253.47
108.24,184.45,76.21,76.21,146.34,222.55
122.60,168.98,76.21,76.21,160.70,207.09
138.06,168.98,76.21,76.21,176.16,207.09
168.98,184.45,76.21,76.21,207.09,222.55
184.45,184.45,76.21,76.21,222.55,222.55
261.76,215.37,76.21,76.21,299.86,253.47
277.22,215.37,76.21,76.21,315.32,253.47
292.68,215.37,76.21,76.21,330.79,253.47
277.22,199.91,76.21,76.21,315.32,238.01
292.68,199.91,76.21,76.21,330.79,238.01
308.14,199.91,76.21,76.21,346.25,238.01
353.43,184.45,76.21,76.21,391.53,222.55
337.97,184.45,76.21,76.21,376.07,222.55
323.61,184.45,76.21,76.21,361.71,222.55
308.14,184.45,76.21,76.21,346.25,222.55
277.22,184.45,76.21,76.21,315.32,222.55
230.83,323.61,76.21,76.21,268.94,361.71
215.37,323.61,76.21,76.21,253.47,361.71
199.91,323.61,76.21,76.21,238.01,361.71
184.45,337.97,76.21,76.21,222.55,376.07
199.91,337.97,76.21,76.21,238.01,376.07
215.37,337.97,76.21,76.21,253.47,376.07
230.83,337.97,76.21,76.21,268.94,376.07
277.22,323.61,76.21,76.21,315.32,361.71
308.14,337.97,76.21,76.21,346.25,376.07
323.61,337.97,76.21,76.21,361.71,376.07
308.14,337.97,76.21,76.21,346.25,376.07
277.22,337.97,76.21,76.21,315.32,376.07
323.61,353.43,76.21,76.21,361.71,391.53
308.14,337.97,76.21,76.21,346.25,376.07
308.14,368.89,76.21,76.21,346.25,406.99
277.22,353.43,76.21,76.21,315.32,391.53
261.76,368.89,76.21,76.21,299.86,406.99
261.76,337.97,76.21,76.21,299.86,376.07
246.29,353.43,76.21,76.21,284.40,391.53
277.22,368.89,76.21,76.21,315.32,406.99
292.68,430.74,76.21,76.21,330.79,468.84
246.29,415.28,76.21,76.21,284.40,453.38
215.37,399.81,76.21,76.21,253.47,437.92
168.98,353.43,76.21,76.21,207.09,391.53
138.06,323.61,76.21,76.21,176.16,361.71
122.60,277.22,76.21,76.21,160.70,315.32
122.60,230.83,76.21,76.21,160.70,268.94
108.24,168.98,76.21,76.21,146.34,207.09
108.24,122.60,76.21,76.21,146.34,160.70
323.61,415.28,76.21,76.21,361.71,453.38
353.43,384.35,76.21,76.21,391.53,422.46
384.35,353.43,76.21,76.21,422.46,391.53
415.28,308.14,76.21,76.21,453.38,346.25
430.74,277.22,76.21,76.21,468.84,315.32
430.74,246.29,76.21,76.21,468.84,284.40
446.20,199.91,76.21,76.21,484.31,238.01
446.20,168.98,76.21,76.21,484.31,207.09
