106,0
x,y,dx,dy,x_c,y_c
281.03,281.03,73.17,73.17,317.62,317.62
266.18,281.03,73.17,73.17,302.77,317.62
251.33,281.03,73.17,73.17,287.92,317.62
295.88,266.18,73.17,73.17,332.46,302.77
310.72,266.18,73.17,73.17,347.31,302.77
281.03,251.33,73.17,73.17,317.62,287.92
281.03,221.64,73.17,73.17,317.62,258.23
266.18,191.95,73.17,73.17,302.77,228.53
266.18,177.10,73.17,73.17,302.77,213.69
221.64,177.10,73.17,73.17,258.23,213.69
221.64,177.10,73.17,73.17,258.23,213.69
206.79,177.10,73.17,73.17,243.38,213.69
206.79,162.25,73.17,73.17,243.38,198.84
206.79,162.25,73.17,73.17,243.38,198.84
191.95,177.10,73.17,73.17,228.53,213.69
147.41,147.41,73.17,73.17,183.99,183.99
162.25,132.56,73.17,73.17,198.84,169.15
177.10,117.71,73.17,73.17,213.69,154.30
206.79,132.56,73.17,73.17,243.38,169.15
236.49,132.56,73.17,73.17,273.07,169.15
310.72,177.10,73.17,73.17,347.31,213.69
324.51,177.10,73.17,73.17,361.10,213.69
324.51,177.10,73.17,73.17,361.10,213.69
324.51,162.25,73.17,73.17,361.10,198.84
339.36,162.25,73.17,73.17,375.94,198.84
354.20,177.10,73.17,73.17,390.79,213.69
383.90,147.41,73.17,73.17,420.48,183.99
369.05,132.56,73.17,73.17,405.64,169.15
339.36,132.56,73.17,73.17,375.94,169.15
324.51,132.56,73.17,73.17,361.10,169.15
295.88,132.56,73.17,73.17,332.46,169.15
281.03,295.88,73.17,73.17,317.62,332.46
251.33,295.88,73.17,73.17,287.92,332.46
236.49,295.88,73.17,73.17,273.07,332.46
221.64,310.72,73.17,73.17,258.23,347.31
221.64,310.72,73.17,73.17,258.23,347.31
236.49,295.88,73.17,73.17,273.07,332.46
281.03,310.72,73.17,73.17,317.62,347.31
310.72,281.03,73.17,73.17,347.31,317.62
324.51,295.88,73.17,73.17,361.10,332.46
339.36,295.88,73.17,73.17,375.94,332.46
324.51,295.88,73.17,73.17,361.10,332.46
324.51,295.88,73.17,73.17,361.10,332.46
324.51,324.51,73.17,73.17,361.10,361.10
310.72,310.72,73.17,73.17,347.31,347.31
310.72,339.36,73.17,73.17,347.31,375.94
281.03,324.51,73.17,73.17,317.62,361.10
251.33,339.36,73.17,73.17,287.92,375.94
251.33,310.72,73.17,73.17,287.92,347.31
236.49,324.51,73.17,73.17,273.07,361.10
281.03,339.36,73.17,73.17,317.62,375.94
295.88,413.59,73.17,73.17,332.46,450.18
251.33,413.59,73.17,73.17,287.92,450.18
221.64,398.74,73.17,73.17,258.23,435.33
191.95,369.05,73.17,73.17,228.53,405.64
162.25,339.36,73.17,73.17,198.84,375.94
147.41,310.72,73.17,73.17,183.99,347.31
132.56,281.03,73.17,73.17,169.15,317.62
117.71,236.49,73.17,73.17,154.30,273.07
117.71,191.95,73.17,73.17,154.30,228.53
310.72,398.74,73.17,73.17,347.31,435.33
339.36,369.05,73.17,73.17,375.94,405.64
369.05,354.20,73.17,73.17,405.64,390.79
383.90,324.51,73.17,73.17,420.48,361.10
398.74,310.72,73.17,73.17,435.33,347.31
398.74,281.03,73.17,73.17,435.33,317.62
413.59,236.49,73.17,73.17,450.18,273.07
413.59,191.95,73.17,73.17,450.18,228.53
