163,0
x,y,dx,dy,x_c,y_c
249.93,279.45,72.76,72.76,286.31,315.84
249.93,279.45,72.76,72.76,286.31,315.84
249.93,279.45,72.76,72.76,286.31,315.84
264.69,279.45,72.76,72.76,301.07,315.84
279.45,279.45,72.76,72.76,315.84,315.84
249.93,249.93,72.76,72.76,286.31,286.31
249.93,235.16,72.76,72.76,286.31,271.55
249.93,205.64,72.76,72.76,286.31,242.02
249.93,190.87,72.76,72.76,286.31,227.25
205.64,190.87,72.76,72.76,242.02,227.25
205.64,190.87,72.76,72.76,242.02,227.25
190.87,205.64,72.76,72.76,227.25,242.02
190.87,190.87,72.76,72.76,227.25,227.25
190.87,190.87,72.76,72.76,227.25,227.25
176.11,205.64,72.76,72.76,212.49,242.02
146.58,176.11,72.76,72.76,182.96,212.49
161.35,146.58,72.76,72.76,197.73,182.96
176.11,131.82,72.76,72.76,212.49,168.20
205.64,146.58,72.76,72.76,242.02,182.96
220.40,146.58,72.76,72.76,256.78,182.96
294.22,190.87,72.76,72.76,330.60,227.25
308.98,205.64,72.76,72.76,345.36,242.02
308.98,205.64,72.76,72.76,345.36,242.02
308.98,190.87,72.76,72.76,345.36,227.25
308.98,190.87,72.76,72.76,345.36,227.25
322.69,190.87,72.76,72.76,359.07,227.25
352.22,176.11,72.76,72.76,388.60,212.49
337.45,161.35,72.76,72.76,373.84,197.73
322.69,146.58,72.76,72.76,359.07,182.96
308.98,146.58,72.76,72.76,345.36,182.96
279.45,146.58,72.76,72.76,315.84,182.96
249.93,308.98,72.76,72.76,286.31,345.36
235.16,308.98,72.76,72.76,271.55,345.36
220.40,322.69,72.76,72.76,256.78,359.07
205.64,337.45,72.76,72.76,242.02,373.84
220.40,337.45,72.76,72.76,256.78,373.84
235.16,322.69,72.76,72.76,271.55,359.07
249.93,322.69,72.76,72.76,286.31,359.07
279.45,294.22,72.76,72.76,315.84,330.60
294.22,308.98,72.76,72.76,330.60,345.36
294.22,322.69,72.76,72.76,330.60,359.07
294.22,322.69,72.76,72.76,330.60,359.07
279.45,308.98,72.76,72.76,315.84,345.36
294.22,352.22,72.76,72.76,330.60,388.60
279.45,337.45,72.76,72.76,315.84,373.84
279.45,352.22,72.76,72.76,315.84,388.60
249.93,337.45,72.76,72.76,286.31,373.84
249.93,352.22,72.76,72.76,286.31,388.60
249.93,322.69,72.76,72.76,286.31,359.07
235.16,337.45,72.76,72.76,271.55,373.84
249.93,352.22,72.76,72.76,286.31,388.60
264.69,426.04,72.76,72.76,301.07,462.42
220.40,426.04,72.76,72.76,256.78,462.42
190.87,411.27,72.76,72.76,227.25,447.65
161.35,381.75,72.76,72.76,197.73,418.13
146.58,366.98,72.76,72.76,182.96,403.36
131.82,337.45,72.76,72.76,168.20,373.84
131.82,308.98,72.76,72.76,168.20,345.36
117.05,264.69,72.76,72.76,153.44,301.07
117.05,220.40,72.76,72.76,153.44,256.78
279.45,411.27,72.76,72.76,315.84,447.65
308.98,381.75,72.76,72.76,345.36,418.13
337.45,366.98,72.76,72.76,373.84,403.36
352.22,322.69,72.76,72.76,388.60,359.07
352.22,294.22,72.76,72.76,388.60,330.60
366.98,264.69,72.76,72.76,403.36,301.07
381.75,220.40,72.76,72.76,418.13,256.78
381.75,190.87,72.76,72.76,418.13,227.25
