56,0
x,y,dx,dy,x_c,y_c
118.00,132.00,34.00,34.00,135.00,149.00
111.00,132.00,34.00,34.00,128.00,149.00
104.00,125.00,34.00,34.00,121.00,142.00
125.00,132.00,34.00,34.00,142.00,149.00
132.00,132.00,34.00,34.00,149.00,149.00
118.00,118.00,34.00,34.00,135.00,135.00
125.00,104.00,34.00,34.00,142.00,121.00
125.00,91.00,34.00,34.00,142.00,108.00
125.00,84.00,34.00,34.00,142.00,101.00
111.00,84.00,34.00,34.00,128.00,101.00
111.00,84.00,34.00,34.00,128.00,101.00
111.00,91.00,34.00,34.00,128.00,108.00
104.00,77.00,34.00,34.00,121.00,94.00
98.00,77.00,34.00,34.00,115.00,94.00
91.00,84.00,34.00,34.00,108.00,101.00
77.00,70.00,34.00,34.00,94.00,87.00
84.00,63.00,34.00,34.00,101.00,80.00
98.00,63.00,34.00,34.00,115.00,80.00
111.00,63.00,34.00,34.00,128.00,80.00
118.00,63.00,34.00,34.00,135.00,80.00
146.00,84.00,34.00,34.00,163.00,101.00
153.00,84.00,34.00,34.00,170.00,101.00
160.00,84.00,34.00,34.00,177.00,101.00
153.00,77.00,34.00,34.00,170.00,94.00
160.00,77.00,34.00,34.00,177.00,94.00
167.00,77.00,34.00,34.00,184.00,94.00
181.00,63.00,34.00,34.00,198.00,80.00
181.00,56.00,34.00,34.00,198.00,73.00
167.00,56.00,34.00,34.00,184.00,73.00
153.00,56.00,34.00,34.00,170.00,73.00
139.00,56.00,34.00,34.00,156.00,73.00
118.00,139.00,34.00,34.00,135.00,156.00
111.00,139.00,34.00,34.00,128.00,156.00
104.00,146.00,34.00,34.00,121.00,163.00
98.00,153.00,34.00,34.00,115.00,170.00
98.00,153.00,34.00,34.00,115.00,170.00
104.00,146.00,34.00,34.00,121.00,163.00
118.00,146.00,34.00,34.00,135.00,163.00
125.00,139.00,34.00,34.00,142.00,156.00
132.00,146.00,34.00,34.00,149.00,163.00
132.00,146.00,34.00,34.00,149.00,163.00
132.00,146.00,34.00,34.00,149.00,163.00
132.00,146.00,34.00,34.00,149.00,163.00
132.00,153.00,34.00,34.00,149.00,170.00
125.00,146.00,34.00,34.00,142.00,163.00
125.00,160.00,34.00,34.00,142.00,177.00
111.00,153.00,34.00,34.00,128.00,170.00
104.00,160.00,34.00,34.00,121.00,177.00
111.00,146.00,34.00,34.00,128.00,163.00
104.00,153.00,34.00,34.00,121.00,170.00
111.00,160.00,34.00,34.00,128.00,177.00
111.00,195.00,34.00,34.00,128.00,212.00
98.00,195.00,34.00,34.00,115.00,212.00
84.00,181.00,34.00,34.00,101.00,198.00
70.00,167.00,34.00,34.00,87.00,184.00
63.00,153.00,34.00,34.00,80.00,170.00
56.00,132.00,34.00,34.00,73.00,149.00
56.00,118.00,34.00,34.00,73.00,135.00
56.00,98.00,34.00,34.00,73.00,115.00
56.00,84.00,34.00,34.00,73.00,101.00
118.00,188.00,34.00,34.00,135.00,205.00
132.00,174.00,34.00,34.00,149.00,191.00
132.00,167.00,34.00,34.00,149.00,184.00
139.00,153.00,34.00,34.00,156.00,170.00
146.00,139.00,34.00,34.00,163.00,156.00
153.00,132.00,34.00,34.00,170.00,149.00
153.00,111.00,34.00,34.00,170.00,128.00
153.00,98.00,34.00,34.00,170.00,115.00
