114,0
x,y,dx,dy,x_c,y_c
321.42,340.32,93.35,93.35,368.09,387.00
302.51,340.32,93.35,93.35,349.19,387.00
302.51,340.32,93.35,93.35,349.19,387.00
340.32,340.32,93.35,93.35,387.00,387.00
340.32,340.32,93.35,93.35,387.00,387.00
321.42,302.51,93.35,93.35,368.09,349.19
321.42,283.60,93.35,93.35,368.09,330.28
302.51,245.79,93.35,93.35,349.19,292.47
302.51,226.88,93.35,93.35,349.19,273.56
245.79,226.88,93.35,93.35,292.47,273.56
226.88,245.79,93.35,93.35,273.56,292.47
207.98,264.70,93.35,93.35,254.65,311.37
226.88,226.88,93.35,93.35,273.56,273.56
207.98,245.79,93.35,93.35,254.65,292.47
189.07,264.70,93.35,93.35,235.74,311.37
132.35,226.88,93.35,93.35,179.02,273.56
151.25,207.98,93.35,93.35,197.93,254.65
170.16,189.07,93.35,93.35,216.84,235.74
207.98,189.07,93.35,93.35,254.65,235.74
245.79,189.07,93.35,93.35,292.47,235.74
340.32,226.88,93.35,93.35,387.00,273.56
359.23,226.88,93.35,93.35,405.91,273.56
378.14,226.88,93.35,93.35,424.81,273.56
359.23,207.98,93.35,93.35,405.91,254.65
378.14,207.98,93.35,93.35,424.81,254.65
397.04,207.98,93.35,93.35,443.72,254.65
434.86,170.16,93.35,93.35,481.53,216.84
415.95,151.25,93.35,93.35,462.63,197.93
378.14,151.25,93.35,93.35,424.81,197.93
359.23,151.25,93.35,93.35,405.91,197.93
321.42,170.16,93.35,93.35,368.09,216.84
321.42,378.14,93.35,93.35,368.09,424.81
302.51,378.14,93.35,93.35,349.19,424.81
283.60,397.04,93.35,93.35,330.28,443.72
264.70,415.95,93.35,93.35,311.37,462.63
283.60,415.95,93.35,93.35,330.28,462.63
302.51,397.04,93.35,93.35,349.19,443.72
321.42,397.04,93.35,93.35,368.09,443.72
359.23,359.23,93.35,93.35,405.91,405.91
397.04,378.14,93.35,93.35,443.72,424.81
415.95,378.14,93.35,93.35,462.63,424.81
397.04,378.14,93.35,93.35,443.72,424.81
359.23,378.14,93.35,93.35,405.91,424.81
415.95,397.04,93.35,93.35,462.63,443.72
397.04,378.14,93.35,93.35,443.72,424.81
397.04,415.95,93.35,93.35,443.72,462.63
359.23,397.04,93.35,93.35,405.91,443.72
321.42,415.95,93.35,93.35,368.09,462.63
321.42,397.04,93.35,93.35,368.09,443.72
302.51,415.95,93.35,93.35,349.19,462.63
359.23,415.95,93.35,93.35,405.91,462.63
340.32,510.49,93.35,93.35,387.00,557.16
302.51,472.67,93.35,93.35,349.19,519.35
264.70,434.86,93.35,93.35,311.37,481.53
226.88,397.04,93.35,93.35,273.56,443.72
189.07,359.23,93.35,93.35,235.74,405.91
170.16,321.42,93.35,93.35,216.84,368.09
151.25,283.60,93.35,93.35,197.93,330.28
132.35,226.88,93.35,93.35,179.02,273.56
132.35,170.16,93.35,93.35,179.02,216.84
378.14,491.58,93.35,93.35,424.81,538.25
415.95,453.76,93.35,93.35,462.63,500.44
453.76,434.86,93.35,93.35,500.44,481.53
472.67,378.14,93.35,93.35,519.35,424.81
491.58,340.32,93.35,93.35,538.25,387.00
491.58,302.51,93.35,93.35,538.25,349.19
491.58,245.79,93.35,93.35,538.25,292.47
491.58,189.07,93.35,93.35,538.25,235.74
