80,0
x,y,dx,dy,x_c,y_c
208.81,321.87,79.60,79.60,248.61,361.67
192.66,321.87,79.60,79.60,232.46,361.67
192.66,305.72,79.60,79.60,232.46,345.52
224.96,305.72,79.60,79.60,264.76,345.52
241.11,305.72,79.60,79.60,280.91,345.52
192.66,305.72,79.60,79.60,232.46,345.52
192.66,289.57,79.60,79.60,232.46,329.37
192.66,257.26,79.60,79.60,232.46,297.06
192.66,241.11,79.60,79.60,232.46,280.91
144.21,257.26,79.60,79.60,184.01,297.06
144.21,257.26,79.60,79.60,184.01,297.06
128.06,273.42,79.60,79.60,167.86,313.22
128.06,257.26,79.60,79.60,167.86,297.06
128.06,257.26,79.60,79.60,167.86,297.06
113.06,273.42,79.60,79.60,152.86,313.22
64.60,257.26,79.60,79.60,104.41,297.06
80.76,241.11,79.60,79.60,120.56,280.91
96.91,224.96,79.60,79.60,136.71,264.76
128.06,224.96,79.60,79.60,167.86,264.76
144.21,224.96,79.60,79.60,184.01,264.76
241.11,241.11,79.60,79.60,280.91,280.91
257.26,241.11,79.60,79.60,297.06,280.91
273.42,241.11,79.60,79.60,313.22,280.91
257.26,241.11,79.60,79.60,297.06,280.91
273.42,241.11,79.60,79.60,313.22,280.91
289.57,241.11,79.60,79.60,329.37,280.91
338.02,208.81,79.60,79.60,377.82,248.61
338.02,192.66,79.60,79.60,377.82,232.46
305.72,192.66,79.60,79.60,345.52,232.46
289.57,192.66,79.60,79.60,329.37,232.46
257.26,192.66,79.60,79.60,297.06,232.46
224.96,338.02,79.60,79.60,264.76,377.82
208.81,338.02,79.60,79.60,248.61,377.82
192.66,353.02,79.60,79.60,232.46,392.82
176.51,369.17,79.60,79.60,216.31,408.97
192.66,385.32,79.60,79.60,232.46,425.12
208.81,353.02,79.60,79.60,248.61,392.82
224.96,353.02,79.60,79.60,264.76,392.82
257.26,321.87,79.60,79.60,297.06,361.67
289.57,338.02,79.60,79.60,329.37,377.82
305.72,353.02,79.60,79.60,345.52,392.82
289.57,353.02,79.60,79.60,329.37,392.82
257.26,338.02,79.60,79.60,297.06,377.82
289.57,385.32,79.60,79.60,329.37,425.12
273.42,385.32,79.60,79.60,313.22,425.12
273.42,417.62,79.60,79.60,313.22,457.42
241.11,401.47,79.60,79.60,280.91,441.27
224.96,417.62,79.60,79.60,264.76,457.42
224.96,401.47,79.60,79.60,264.76,441.27
208.81,401.47,79.60,79.60,248.61,441.27
241.11,417.62,79.60,79.60,280.91,457.42
241.11,498.38,79.60,79.60,280.91,538.18
192.66,482.23,79.60,79.60,232.46,522.03
160.36,449.92,79.60,79.60,200.16,489.72
128.06,417.62,79.60,79.60,167.86,457.42
96.91,385.32,79.60,79.60,136.71,425.12
80.76,338.02,79.60,79.60,120.56,377.82
64.60,305.72,79.60,79.60,104.41,345.52
48.45,257.26,79.60,79.60,88.25,297.06
48.45,224.96,79.60,79.60,88.25,264.76
289.57,498.38,79.60,79.60,329.37,538.18
321.87,482.23,79.60,79.60,361.67,522.03
338.02,466.07,79.60,79.60,377.82,505.88
338.02,417.62,79.60,79.60,377.82,457.42
353.02,385.32,79.60,79.60,392.82,425.12
369.17,338.02,79.60,79.60,408.97,377.82
385.32,289.57,79.60,79.60,425.12,329.37
385.32,241.11,79.60,79.60,425.12,280.91
