207,0
x,y,dx,dy,x_c,y_c
235.29,298.34,77.68,77.68,274.13,337.18
235.29,298.34,77.68,77.68,274.13,337.18
219.53,298.34,77.68,77.68,258.37,337.18
251.05,298.34,77.68,77.68,289.89,337.18
266.82,298.34,77.68,77.68,305.66,337.18
235.29,266.82,77.68,77.68,274.13,305.66
235.29,251.05,77.68,77.68,274.13,289.89
235.29,219.53,77.68,77.68,274.13,258.37
235.29,203.77,77.68,77.68,274.13,242.61
188.01,203.77,77.68,77.68,226.85,242.61
172.25,219.53,77.68,77.68,211.09,258.37
156.49,219.53,77.68,77.68,195.33,258.37
172.25,203.77,77.68,77.68,211.09,242.61
156.49,203.77,77.68,77.68,195.33,242.61
140.73,203.77,77.68,77.68,179.57,242.61
110.33,172.25,77.68,77.68,149.17,211.09
124.96,140.73,77.68,77.68,163.80,179.57
156.49,140.73,77.68,77.68,195.33,179.57
172.25,140.73,77.68,77.68,211.09,179.57
188.01,140.73,77.68,77.68,226.85,179.57
282.58,219.53,77.68,77.68,321.42,258.37
298.34,219.53,77.68,77.68,337.18,258.37
298.34,219.53,77.68,77.68,337.18,258.37
298.34,219.53,77.68,77.68,337.18,258.37
298.34,219.53,77.68,77.68,337.18,258.37
314.10,219.53,77.68,77.68,352.94,258.37
344.50,188.01,77.68,77.68,383.34,226.85
329.86,172.25,77.68,77.68,368.70,211.09
298.34,156.49,77.68,77.68,337.18,195.33
282.58,156.49,77.68,77.68,321.42,195.33
251.05,156.49,77.68,77.68,289.89,195.33
235.29,329.86,77.68,77.68,274.13,368.70
219.53,329.86,77.68,77.68,258.37,368.70
203.77,329.86,77.68,77.68,242.61,368.70
188.01,344.50,77.68,77.68,226.85,383.34
203.77,344.50,77.68,77.68,242.61,383.34
219.53,329.86,77.68,77.68,258.37,368.70
235.29,329.86,77.68,77.68,274.13,368.70
266.82,314.10,77.68,77.68,305.66,352.94
282.58,329.86,77.68,77.68,321.42,368.70
282.58,329.86,77.68,77.68,321.42,368.70
282.58,329.86,77.68,77.68,321.42,368.70
266.82,329.86,77.68,77.68,305.66,368.70
282.58,344.50,77.68,77.68,321.42,383.34
266.82,329.86,77.68,77.68,305.66,368.70
266.82,360.26,77.68,77.68,305.66,399.10
235.29,344.50,77.68,77.68,274.13,383.34
219.53,360.26,77.68,77.68,258.37,399.10
219.53,329.86,77.68,77.68,258.37,368.70
203.77,344.50,77.68,77.68,242.61,383.34
235.29,360.26,77.68,77.68,274.13,399.10
235.29,423.30,77.68,77.68,274.13,462.14
203.77,407.54,77.68,77.68,242.61,446.38
172.25,376.02,77.68,77.68,211.09,414.86
140.73,344.50,77.68,77.68,179.57,383.34
124.96,329.86,77.68,77.68,163.80,368.70
110.33,298.34,77.68,77.68,149.17,337.18
94.57,266.82,77.68,77.68,133.41,305.66
78.81,219.53,77.68,77.68,117.65,258.37
78.81,172.25,77.68,77.68,117.65,211.09
266.82,407.54,77.68,77.68,305.66,446.38
298.34,376.02,77.68,77.68,337.18,414.86
329.86,344.50,77.68,77.68,368.70,383.34
344.50,298.34,77.68,77.68,383.34,337.18
360.26,266.82,77.68,77.68,399.10,305.66
376.02,219.53,77.68,77.68,414.86,258.37
391.78,172.25,77.68,77.68,430.62,211.09
391.78,124.96,77.68,77.68,430.62,163.80
