40,0
x,y,dx,dy,x_c,y_c
44.00,56.00,19.00,19.00,53.50,65.50
40.00,60.00,19.00,19.00,49.50,69.50
36.00,60.00,19.00,19.00,45.50,69.50
48.00,56.00,19.00,19.00,57.50,65.50
52.00,56.00,19.00,19.00,61.50,65.50
44.00,48.00,19.00,19.00,53.50,57.50
44.00,44.00,19.00,19.00,53.50,53.50
44.00,36.00,19.00,19.00,53.50,45.50
44.00,32.00,19.00,19.00,53.50,41.50
32.00,32.00,19.00,19.00,41.50,41.50
32.00,32.00,19.00,19.00,41.50,41.50
32.00,32.00,19.00,19.00,41.50,41.50
28.00,28.00,19.00,19.00,37.50,37.50
28.00,28.00,19.00,19.00,37.50,37.50
24.00,28.00,19.00,19.00,33.50,37.50
16.00,20.00,19.00,19.00,25.50,29.50
20.00,16.00,19.00,19.00,29.50,25.50
24.00,12.00,19.00,19.00,33.50,21.50
32.00,12.00,19.00,19.00,41.50,21.50
40.00,12.00,19.00,19.00,49.50,21.50
52.00,36.00,19.00,19.00,61.50,45.50
52.00,36.00,19.00,19.00,61.50,45.50
56.00,36.00,19.00,19.00,65.50,45.50
52.00,36.00,19.00,19.00,61.50,45.50
56.00,36.00,19.00,19.00,65.50,45.50
60.00,36.00,19.00,19.00,69.50,45.50
68.00,28.00,19.00,19.00,77.50,37.50
64.00,24.00,19.00,19.00,73.50,33.50
60.00,24.00,19.00,19.00,69.50,33.50
56.00,28.00,19.00,19.00,65.50,37.50
48.00,28.00,19.00,19.00,57.50,37.50
40.00,56.00,19.00,19.00,49.50,65.50
36.00,52.00,19.00,19.00,45.50,61.50
32.00,52.00,19.00,19.00,41.50,61.50
28.00,56.00,19.00,19.00,37.50,65.50
32.00,56.00,19.00,19.00,41.50,65.50
36.00,52.00,19.00,19.00,45.50,61.50
40.00,56.00,19.00,19.00,49.50,65.50
48.00,52.00,19.00,19.00,57.50,61.50
52.00,52.00,19.00,19.00,61.50,61.50
56.00,56.00,19.00,19.00,65.50,65.50
52.00,56.00,19.00,19.00,61.50,65.50
52.00,56.00,19.00,19.00,61.50,65.50
56.00,60.00,19.00,19.00,65.50,69.50
52.00,56.00,19.00,19.00,61.50,65.50
52.00,60.00,19.00,19.00,61.50,69.50
44.00,56.00,19.00,19.00,53.50,65.50
36.00,60.00,19.00,19.00,45.50,69.50
36.00,52.00,19.00,19.00,45.50,61.50
32.00,56.00,19.00,19.00,41.50,65.50
44.00,60.00,19.00,19.00,53.50,69.50
44.00,76.00,19.00,19.00,53.50,85.50
36.00,72.00,19.00,19.00,45.50,81.50
28.00,68.00,19.00,19.00,37.50,77.50
20.00,60.00,19.00,19.00,29.50,69.50
16.00,52.00,19.00,19.00,25.50,61.50
12.00,40.00,19.00,19.00,21.50,49.50
12.00,32.00,19.00,19.00,21.50,41.50
12.00,20.00,19.00,19.00,21.50,29.50
12.00,8.00,19.00,19.00,21.50,17.50
52.00,72.00,19.00,19.00,61.50,81.50
56.00,68.00,19.00,19.00,65.50,77.50
60.00,60.00,19.00,19.00,69.50,69.50
64.00,48.00,19.00,19.00,73.50,57.50
68.00,40.00,19.00,19.00,77.50,49.50
68.00,28.00,19.00,19.00,77.50,37.50
68.00,16.00,19.00,19.00,77.50,25.50
68.00,8.00,19.00,19.00,77.50,17.50
