119,-30
x,y,dx,dy,x_c,y_c
289.33,274.05,75.34,75.34,327.00,311.71
274.05,274.05,75.34,75.34,311.71,311.71
258.76,274.05,75.34,75.34,296.43,311.71
304.62,274.05,75.34,75.34,342.28,311.71
319.90,274.05,75.34,75.34,357.57,311.71
304.62,243.48,75.34,75.34,342.28,281.14
304.62,228.19,75.34,75.34,342.28,265.86
289.33,212.90,75.34,75.34,327.00,250.57
289.33,197.62,75.34,75.34,327.00,235.29
243.48,197.62,75.34,75.34,281.14,235.29
228.19,212.90,75.34,75.34,265.86,250.57
212.90,212.90,75.34,75.34,250.57,250.57
228.19,197.62,75.34,75.34,265.86,235.29
212.90,197.62,75.34,75.34,250.57,235.29
197.62,212.90,75.34,75.34,235.29,250.57
151.76,182.33,75.34,75.34,189.43,220.00
167.05,167.05,75.34,75.34,204.72,204.72
197.62,151.76,75.34,75.34,235.29,189.43
228.19,151.76,75.34,75.34,265.86,189.43
258.76,151.76,75.34,75.34,296.43,189.43
304.62,197.62,75.34,75.34,342.28,235.29
319.90,197.62,75.34,75.34,357.57,235.29
319.90,197.62,75.34,75.34,357.57,235.29
319.90,197.62,75.34,75.34,357.57,235.29
319.90,197.62,75.34,75.34,357.57,235.29
319.90,197.62,75.34,75.34,357.57,235.29
334.10,151.76,75.34,75.34,371.76,189.43
334.10,151.76,75.34,75.34,371.76,189.43
319.90,151.76,75.34,75.34,357.57,189.43
319.90,151.76,75.34,75.34,357.57,189.43
304.62,151.76,75.34,75.34,342.28,189.43
289.33,304.62,75.34,75.34,327.00,342.28
258.76,304.62,75.34,75.34,296.43,342.28
243.48,319.90,75.34,75.34,281.14,357.57
228.19,334.10,75.34,75.34,265.86,371.76
243.48,334.10,75.34,75.34,281.14,371.76
258.76,319.90,75.34,75.34,296.43,357.57
289.33,319.90,75.34,75.34,327.00,357.57
304.62,304.62,75.34,75.34,342.28,342.28
319.90,319.90,75.34,75.34,357.57,357.57
319.90,319.90,75.34,75.34,357.57,357.57
319.90,319.90,75.34,75.34,357.57,357.57
304.62,319.90,75.34,75.34,342.28,357.57
304.62,334.10,75.34,75.34,342.28,371.76
274.05,319.90,75.34,75.34,311.71,357.57
274.05,334.10,75.34,75.34,311.71,371.76
274.05,319.90,75.34,75.34,311.71,357.57
258.76,334.10,75.34,75.34,296.43,371.76
258.76,319.90,75.34,75.34,296.43,357.57
243.48,334.10,75.34,75.34,281.14,371.76
274.05,334.10,75.34,75.34,311.71,371.76
274.05,425.81,75.34,75.34,311.71,463.48
243.48,425.81,75.34,75.34,281.14,463.48
212.90,410.52,75.34,75.34,250.57,448.19
182.33,395.24,75.34,75.34,220.00,432.91
151.76,379.95,75.34,75.34,189.43,417.62
121.19,364.67,75.34,75.34,158.86,402.33
107.00,319.90,75.34,75.34,144.67,357.57
91.71,289.33,75.34,75.34,129.38,327.00
76.43,258.76,75.34,75.34,114.09,296.43
304.62,410.52,75.34,75.34,342.28,448.19
319.90,379.95,75.34,75.34,357.57,417.62
334.10,349.38,75.34,75.34,371.76,387.05
349.38,319.90,75.34,75.34,387.05,357.57
349.38,304.62,75.34,75.34,387.05,342.28
349.38,274.05,75.34,75.34,387.05,311.71
349.38,243.48,75.34,75.34,387.05,281.14
334.10,212.90,75.34,75.34,371.76,250.57
