110,0
x,y,dx,dy,x_c,y_c
128.00,168.00,39.00,39.00,147.50,187.50
120.00,168.00,39.00,39.00,139.50,187.50
120.00,168.00,39.00,39.00,139.50,187.50
136.00,168.00,39.00,39.00,155.50,187.50
136.00,168.00,39.00,39.00,155.50,187.50
136.00,160.00,39.00,39.00,155.50,179.50
144.00,152.00,39.00,39.00,163.50,171.50
144.00,136.00,39.00,39.00,163.50,155.50
144.00,128.00,39.00,39.00,163.50,147.50
120.00,128.00,39.00,39.00,139.50,147.50
120.00,128.00,39.00,39.00,139.50,147.50
112.00,128.00,39.00,39.00,131.50,147.50
112.00,120.00,39.00,39.00,131.50,139.50
104.00,120.00,39.00,39.00,123.50,139.50
96.00,128.00,39.00,39.00,115.50,147.50
72.00,112.00,39.00,39.00,91.50,131.50
80.00,104.00,39.00,39.00,99.50,123.50
96.00,96.00,39.00,39.00,115.50,115.50
112.00,104.00,39.00,39.00,131.50,123.50
120.00,104.00,39.00,39.00,139.50,123.50
168.00,128.00,39.00,39.00,187.50,147.50
176.00,128.00,39.00,39.00,195.50,147.50
184.00,128.00,39.00,39.00,203.50,147.50
176.00,128.00,39.00,39.00,195.50,147.50
184.00,128.00,39.00,39.00,203.50,147.50
192.00,128.00,39.00,39.00,211.50,147.50
208.00,112.00,39.00,39.00,227.50,131.50
208.00,104.00,39.00,39.00,227.50,123.50
192.00,104.00,39.00,39.00,211.50,123.50
184.00,104.00,39.00,39.00,203.50,123.50
168.00,104.00,39.00,39.00,187.50,123.50
128.00,176.00,39.00,39.00,147.50,195.50
120.00,176.00,39.00,39.00,139.50,195.50
112.00,184.00,39.00,39.00,131.50,203.50
104.00,200.00,39.00,39.00,123.50,219.50
112.00,192.00,39.00,39.00,131.50,211.50
120.00,184.00,39.00,39.00,139.50,203.50
128.00,184.00,39.00,39.00,147.50,203.50
144.00,176.00,39.00,39.00,163.50,195.50
160.00,184.00,39.00,39.00,179.50,203.50
168.00,192.00,39.00,39.00,187.50,211.50
168.00,184.00,39.00,39.00,187.50,203.50
144.00,184.00,39.00,39.00,163.50,203.50
168.00,208.00,39.00,39.00,187.50,227.50
160.00,200.00,39.00,39.00,179.50,219.50
160.00,216.00,39.00,39.00,179.50,235.50
144.00,208.00,39.00,39.00,163.50,227.50
128.00,216.00,39.00,39.00,147.50,235.50
128.00,200.00,39.00,39.00,147.50,219.50
120.00,200.00,39.00,39.00,139.50,219.50
144.00,216.00,39.00,39.00,163.50,235.50
152.00,256.00,39.00,39.00,171.50,275.50
128.00,248.00,39.00,39.00,147.50,267.50
112.00,232.00,39.00,39.00,131.50,251.50
96.00,216.00,39.00,39.00,115.50,235.50
80.00,200.00,39.00,39.00,99.50,219.50
72.00,176.00,39.00,39.00,91.50,195.50
64.00,160.00,39.00,39.00,83.50,179.50
56.00,136.00,39.00,39.00,75.50,155.50
56.00,112.00,39.00,39.00,75.50,131.50
168.00,248.00,39.00,39.00,187.50,267.50
184.00,232.00,39.00,39.00,203.50,251.50
200.00,216.00,39.00,39.00,219.50,235.50
208.00,192.00,39.00,39.00,227.50,211.50
224.00,168.00,39.00,39.00,243.50,187.50
232.00,144.00,39.00,39.00,251.50,163.50
240.00,120.00,39.00,39.00,259.50,139.50
240.00,104.00,39.00,39.00,259.50,123.50
