63,-45
x,y,dx,dy,x_c,y_c
267.00,267.00,60.00,60.00,297.00,297.00
255.00,267.00,60.00,60.00,285.00,297.00
255.00,267.00,60.00,60.00,285.00,297.00
267.00,267.00,60.00,60.00,297.00,297.00
279.00,267.00,60.00,60.00,309.00,297.00
291.00,230.00,60.00,60.00,321.00,260.00
303.00,206.00,60.00,60.00,333.00,236.00
291.00,182.00,60.00,60.00,321.00,212.00
291.00,170.00,60.00,60.00,321.00,200.00
255.00,170.00,60.00,60.00,285.00,200.00
255.00,170.00,60.00,60.00,285.00,200.00
243.00,170.00,60.00,60.00,273.00,200.00
243.00,170.00,60.00,60.00,273.00,200.00
230.00,170.00,60.00,60.00,260.00,200.00
230.00,170.00,60.00,60.00,260.00,200.00
194.00,146.00,60.00,60.00,224.00,176.00
218.00,133.00,60.00,60.00,248.00,163.00
243.00,121.00,60.00,60.00,273.00,151.00
255.00,133.00,60.00,60.00,285.00,163.00
279.00,133.00,60.00,60.00,309.00,163.00
315.00,158.00,60.00,60.00,345.00,188.00
327.00,170.00,60.00,60.00,357.00,200.00
327.00,170.00,60.00,60.00,357.00,200.00
327.00,158.00,60.00,60.00,357.00,188.00
340.00,158.00,60.00,60.00,370.00,188.00
340.00,170.00,60.00,60.00,370.00,200.00
340.00,146.00,60.00,60.00,370.00,176.00
340.00,146.00,60.00,60.00,370.00,176.00
327.00,146.00,60.00,60.00,357.00,176.00
327.00,146.00,60.00,60.00,357.00,176.00
315.00,146.00,60.00,60.00,345.00,176.00
267.00,279.00,60.00,60.00,297.00,309.00
255.00,279.00,60.00,60.00,285.00,309.00
243.00,291.00,60.00,60.00,273.00,321.00
230.00,303.00,60.00,60.00,260.00,333.00
243.00,303.00,60.00,60.00,273.00,333.00
255.00,291.00,60.00,60.00,285.00,321.00
267.00,291.00,60.00,60.00,297.00,321.00
279.00,255.00,60.00,60.00,309.00,285.00
279.00,255.00,60.00,60.00,309.00,285.00
279.00,255.00,60.00,60.00,309.00,285.00
267.00,255.00,60.00,60.00,297.00,285.00
267.00,255.00,60.00,60.00,297.00,285.00
279.00,267.00,60.00,60.00,309.00,297.00
267.00,243.00,60.00,60.00,297.00,273.00
267.00,255.00,60.00,60.00,297.00,285.00
267.00,243.00,60.00,60.00,297.00,273.00
255.00,255.00,60.00,60.00,285.00,285.00
255.00,243.00,60.00,60.00,285.00,273.00
243.00,255.00,60.00,60.00,273.00,285.00
267.00,255.00,60.00,60.00,297.00,285.00
255.00,315.00,60.00,60.00,285.00,345.00
218.00,315.00,60.00,60.00,248.00,345.00
182.00,303.00,60.00,60.00,212.00,333.00
146.00,291.00,60.00,60.00,176.00,321.00
109.00,267.00,60.00,60.00,139.00,297.00
85.00,230.00,60.00,60.00,115.00,260.00
73.00,182.00,60.00,60.00,103.00,212.00
61.00,146.00,60.00,60.00,91.00,176.00
49.00,109.00,60.00,60.00,79.00,139.00
267.00,303.00,60.00,60.00,297.00,333.00
279.00,291.00,60.00,60.00,309.00,321.00
291.00,267.00,60.00,60.00,321.00,297.00
303.00,255.00,60.00,60.00,333.00,285.00
315.00,243.00,60.00,60.00,345.00,273.00
327.00,218.00,60.00,60.00,357.00,248.00
327.00,206.00,60.00,60.00,357.00,236.00
315.00,194.00,60.00,60.00,345.00,224.00
