69,0
x,y,dx,dy,x_c,y_c
195.00,237.00,69.00,69.00,229.50,271.50
181.00,237.00,69.00,69.00,215.50,271.50
167.00,237.00,69.00,69.00,201.50,271.50
209.00,237.00,69.00,69.00,243.50,271.50
209.00,237.00,69.00,69.00,243.50,271.50
195.00,209.00,69.00,69.00,229.50,243.50
195.00,195.00,69.00,69.00,229.50,229.50
195.00,167.00,69.00,69.00,229.50,201.50
195.00,153.00,69.00,69.00,229.50,187.50
153.00,153.00,69.00,69.00,187.50,187.50
139.00,153.00,69.00,69.00,173.50,187.50
139.00,167.00,69.00,69.00,173.50,201.50
139.00,139.00,69.00,69.00,173.50,173.50
139.00,139.00,69.00,69.00,173.50,173.50
125.00,139.00,69.00,69.00,159.50,173.50
98.00,111.00,69.00,69.00,132.50,145.50
111.00,98.00,69.00,69.00,145.50,132.50
125.00,84.00,69.00,69.00,159.50,118.50
139.00,84.00,69.00,69.00,173.50,118.50
153.00,84.00,69.00,69.00,187.50,118.50
237.00,153.00,69.00,69.00,271.50,187.50
251.00,153.00,69.00,69.00,285.50,187.50
265.00,153.00,69.00,69.00,299.50,187.50
251.00,153.00,69.00,69.00,285.50,187.50
265.00,153.00,69.00,69.00,299.50,187.50
279.00,153.00,69.00,69.00,313.50,187.50
306.00,125.00,69.00,69.00,340.50,159.50
293.00,125.00,69.00,69.00,327.50,159.50
279.00,125.00,69.00,69.00,313.50,159.50
265.00,125.00,69.00,69.00,299.50,159.50
237.00,139.00,69.00,69.00,271.50,173.50
195.00,251.00,69.00,69.00,229.50,285.50
181.00,251.00,69.00,69.00,215.50,285.50
167.00,251.00,69.00,69.00,201.50,285.50
153.00,265.00,69.00,69.00,187.50,299.50
167.00,265.00,69.00,69.00,201.50,299.50
181.00,265.00,69.00,69.00,215.50,299.50
195.00,265.00,69.00,69.00,229.50,299.50
223.00,251.00,69.00,69.00,257.50,285.50
237.00,265.00,69.00,69.00,271.50,299.50
251.00,265.00,69.00,69.00,285.50,299.50
237.00,265.00,69.00,69.00,271.50,299.50
223.00,265.00,69.00,69.00,257.50,299.50
251.00,279.00,69.00,69.00,285.50,313.50
237.00,265.00,69.00,69.00,271.50,299.50
237.00,293.00,69.00,69.00,271.50,327.50
209.00,279.00,69.00,69.00,243.50,313.50
181.00,293.00,69.00,69.00,215.50,327.50
181.00,265.00,69.00,69.00,215.50,299.50
167.00,265.00,69.00,69.00,201.50,299.50
209.00,293.00,69.00,69.00,243.50,327.50
209.00,348.00,69.00,69.00,243.50,382.50
181.00,334.00,69.00,69.00,215.50,368.50
153.00,306.00,69.00,69.00,187.50,340.50
125.00,279.00,69.00,69.00,159.50,313.50
111.00,251.00,69.00,69.00,145.50,285.50
98.00,223.00,69.00,69.00,132.50,257.50
84.00,195.00,69.00,69.00,118.50,229.50
70.00,153.00,69.00,69.00,104.50,187.50
70.00,111.00,69.00,69.00,104.50,145.50
237.00,334.00,69.00,69.00,271.50,368.50
265.00,306.00,69.00,69.00,299.50,340.50
293.00,279.00,69.00,69.00,327.50,313.50
320.00,237.00,69.00,69.00,354.50,271.50
334.00,209.00,69.00,69.00,368.50,243.50
348.00,167.00,69.00,69.00,382.50,201.50
362.00,125.00,69.00,69.00,396.50,159.50
362.00,98.00,69.00,69.00,396.50,132.50
