142,0
x,y,dx,dy,x_c,y_c
243.07,319.37,75.21,75.21,280.67,356.97
227.81,319.37,75.21,75.21,265.41,356.97
212.55,319.37,75.21,75.21,250.15,356.97
258.33,319.37,75.21,75.21,295.93,356.97
273.59,319.37,75.21,75.21,311.19,356.97
243.07,288.85,75.21,75.21,280.67,326.45
243.07,258.33,75.21,75.21,280.67,295.93
243.07,227.81,75.21,75.21,280.67,265.41
243.07,212.55,75.21,75.21,280.67,250.15
197.29,212.55,75.21,75.21,234.89,250.15
182.03,212.55,75.21,75.21,219.63,250.15
182.03,212.55,75.21,75.21,219.63,250.15
182.03,197.29,75.21,75.21,219.63,234.89
182.03,197.29,75.21,75.21,219.63,234.89
166.77,212.55,75.21,75.21,204.37,250.15
120.99,182.03,75.21,75.21,158.59,219.63
136.25,166.77,75.21,75.21,173.85,204.37
166.77,166.77,75.21,75.21,204.37,204.37
197.29,166.77,75.21,75.21,234.89,204.37
212.55,166.77,75.21,75.21,250.15,204.37
288.85,212.55,75.21,75.21,326.45,250.15
304.11,212.55,75.21,75.21,341.71,250.15
319.37,212.55,75.21,75.21,356.97,250.15
304.11,197.29,75.21,75.21,341.71,234.89
333.54,197.29,75.21,75.21,371.14,234.89
348.80,212.55,75.21,75.21,386.40,250.15
394.58,182.03,75.21,75.21,432.18,219.63
379.32,166.77,75.21,75.21,416.92,204.37
348.80,166.77,75.21,75.21,386.40,204.37
319.37,166.77,75.21,75.21,356.97,204.37
288.85,166.77,75.21,75.21,326.45,204.37
243.07,333.54,75.21,75.21,280.67,371.14
227.81,333.54,75.21,75.21,265.41,371.14
197.29,333.54,75.21,75.21,234.89,371.14
182.03,348.80,75.21,75.21,219.63,386.40
182.03,348.80,75.21,75.21,219.63,386.40
212.55,333.54,75.21,75.21,250.15,371.14
243.07,348.80,75.21,75.21,280.67,386.40
273.59,319.37,75.21,75.21,311.19,356.97
304.11,333.54,75.21,75.21,341.71,371.14
319.37,348.80,75.21,75.21,356.97,386.40
304.11,333.54,75.21,75.21,341.71,371.14
288.85,333.54,75.21,75.21,326.45,371.14
304.11,379.32,75.21,75.21,341.71,416.92
273.59,364.06,75.21,75.21,311.19,401.66
273.59,379.32,75.21,75.21,311.19,416.92
243.07,364.06,75.21,75.21,280.67,401.66
197.29,379.32,75.21,75.21,234.89,416.92
197.29,348.80,75.21,75.21,234.89,386.40
182.03,364.06,75.21,75.21,219.63,401.66
243.07,379.32,75.21,75.21,280.67,416.92
258.33,455.62,75.21,75.21,295.93,493.22
212.55,440.36,75.21,75.21,250.15,477.96
182.03,425.10,75.21,75.21,219.63,462.70
151.51,394.58,75.21,75.21,189.11,432.18
120.99,379.32,75.21,75.21,158.59,416.92
106.82,348.80,75.21,75.21,144.42,386.40
106.82,319.37,75.21,75.21,144.42,356.97
91.56,273.59,75.21,75.21,129.16,311.19
91.56,227.81,75.21,75.21,129.16,265.41
288.85,440.36,75.21,75.21,326.45,477.96
319.37,425.10,75.21,75.21,356.97,462.70
364.06,394.58,75.21,75.21,401.66,432.18
379.32,348.80,75.21,75.21,416.92,386.40
394.58,304.11,75.21,75.21,432.18,341.71
409.84,258.33,75.21,75.21,447.44,295.93
425.10,212.55,75.21,75.21,462.70,250.15
425.10,182.03,75.21,75.21,462.70,219.63
