104,30
x,y,dx,dy,x_c,y_c
170.00,206.00,60.00,60.00,200.00,236.00
170.00,206.00,60.00,60.00,200.00,236.00
158.00,206.00,60.00,60.00,188.00,236.00
170.00,206.00,60.00,60.00,200.00,236.00
182.00,206.00,60.00,60.00,212.00,236.00
158.00,182.00,60.00,60.00,188.00,212.00
158.00,170.00,60.00,60.00,188.00,200.00
170.00,146.00,60.00,60.00,200.00,176.00
170.00,133.00,60.00,60.00,200.00,163.00
146.00,133.00,60.00,60.00,176.00,163.00
133.00,133.00,60.00,60.00,163.00,163.00
121.00,133.00,60.00,60.00,151.00,163.00
133.00,133.00,60.00,60.00,163.00,163.00
133.00,133.00,60.00,60.00,163.00,163.00
121.00,133.00,60.00,60.00,151.00,163.00
109.00,97.00,60.00,60.00,139.00,127.00
109.00,97.00,60.00,60.00,139.00,127.00
121.00,97.00,60.00,60.00,151.00,127.00
133.00,109.00,60.00,60.00,163.00,139.00
146.00,109.00,60.00,60.00,176.00,139.00
206.00,133.00,60.00,60.00,236.00,163.00
218.00,146.00,60.00,60.00,248.00,176.00
230.00,146.00,60.00,60.00,260.00,176.00
218.00,133.00,60.00,60.00,248.00,163.00
230.00,133.00,60.00,60.00,260.00,163.00
243.00,146.00,60.00,60.00,273.00,176.00
279.00,121.00,60.00,60.00,309.00,151.00
255.00,109.00,60.00,60.00,285.00,139.00
230.00,97.00,60.00,60.00,260.00,127.00
206.00,97.00,60.00,60.00,236.00,127.00
182.00,97.00,60.00,60.00,212.00,127.00
170.00,230.00,60.00,60.00,200.00,260.00
158.00,230.00,60.00,60.00,188.00,260.00
146.00,230.00,60.00,60.00,176.00,260.00
146.00,243.00,60.00,60.00,176.00,273.00
146.00,230.00,60.00,60.00,176.00,260.00
158.00,230.00,60.00,60.00,188.00,260.00
170.00,230.00,60.00,60.00,200.00,260.00
194.00,230.00,60.00,60.00,224.00,260.00
206.00,230.00,60.00,60.00,236.00,260.00
218.00,230.00,60.00,60.00,248.00,260.00
194.00,230.00,60.00,60.00,224.00,260.00
182.00,230.00,60.00,60.00,212.00,260.00
206.00,255.00,60.00,60.00,236.00,285.00
182.00,243.00,60.00,60.00,212.00,273.00
194.00,255.00,60.00,60.00,224.00,285.00
170.00,230.00,60.00,60.00,200.00,260.00
146.00,243.00,60.00,60.00,176.00,273.00
158.00,230.00,60.00,60.00,188.00,260.00
146.00,243.00,60.00,60.00,176.00,273.00
170.00,243.00,60.00,60.00,200.00,273.00
170.00,303.00,60.00,60.00,200.00,333.00
146.00,291.00,60.00,60.00,176.00,321.00
133.00,267.00,60.00,60.00,163.00,297.00
121.00,243.00,60.00,60.00,151.00,273.00
97.00,230.00,60.00,60.00,127.00,260.00
97.00,206.00,60.00,60.00,127.00,236.00
97.00,194.00,60.00,60.00,127.00,224.00
85.00,170.00,60.00,60.00,115.00,200.00
85.00,158.00,60.00,60.00,115.00,188.00
194.00,291.00,60.00,60.00,224.00,321.00
230.00,279.00,60.00,60.00,260.00,309.00
255.00,267.00,60.00,60.00,285.00,297.00
279.00,243.00,60.00,60.00,309.00,273.00
303.00,218.00,60.00,60.00,333.00,248.00
315.00,194.00,60.00,60.00,345.00,224.00
327.00,158.00,60.00,60.00,357.00,188.00
340.00,133.00,60.00,60.00,370.00,163.00
