173,30
x,y,dx,dy,x_c,y_c
227.81,304.11,75.21,75.21,265.41,341.71
227.81,304.11,75.21,75.21,265.41,341.71
212.55,304.11,75.21,75.21,250.15,341.71
243.07,304.11,75.21,75.21,280.67,341.71
258.33,304.11,75.21,75.21,295.93,341.71
212.55,273.59,75.21,75.21,250.15,311.19
212.55,243.07,75.21,75.21,250.15,280.67
227.81,212.55,75.21,75.21,265.41,250.15
227.81,197.29,75.21,75.21,265.41,234.89
197.29,197.29,75.21,75.21,234.89,234.89
182.03,197.29,75.21,75.21,219.63,234.89
166.77,197.29,75.21,75.21,204.37,234.89
182.03,197.29,75.21,75.21,219.63,234.89
182.03,182.03,75.21,75.21,219.63,219.63
166.77,197.29,75.21,75.21,204.37,234.89
151.51,151.51,75.21,75.21,189.11,189.11
151.51,151.51,75.21,75.21,189.11,189.11
166.77,136.25,75.21,75.21,204.37,173.85
182.03,151.51,75.21,75.21,219.63,189.11
197.29,151.51,75.21,75.21,234.89,189.11
273.59,197.29,75.21,75.21,311.19,234.89
288.85,212.55,75.21,75.21,326.45,250.15
304.11,212.55,75.21,75.21,341.71,250.15
288.85,197.29,75.21,75.21,326.45,234.89
304.11,197.29,75.21,75.21,341.71,234.89
319.37,212.55,75.21,75.21,356.97,250.15
364.06,166.77,75.21,75.21,401.66,204.37
333.54,151.51,75.21,75.21,371.14,189.11
304.11,151.51,75.21,75.21,341.71,189.11
273.59,151.51,75.21,75.21,311.19,189.11
243.07,151.51,75.21,75.21,280.67,189.11
227.81,333.54,75.21,75.21,265.41,371.14
227.81,333.54,75.21,75.21,265.41,371.14
212.55,333.54,75.21,75.21,250.15,371.14
212.55,348.80,75.21,75.21,250.15,386.40
212.55,348.80,75.21,75.21,250.15,386.40
227.81,333.54,75.21,75.21,265.41,371.14
227.81,333.54,75.21,75.21,265.41,371.14
258.33,333.54,75.21,75.21,295.93,371.14
288.85,333.54,75.21,75.21,326.45,371.14
304.11,333.54,75.21,75.21,341.71,371.14
273.59,333.54,75.21,75.21,311.19,371.14
258.33,333.54,75.21,75.21,295.93,371.14
288.85,348.80,75.21,75.21,326.45,386.40
258.33,333.54,75.21,75.21,295.93,371.14
273.59,364.06,75.21,75.21,311.19,401.66
243.07,348.80,75.21,75.21,280.67,386.40
227.81,364.06,75.21,75.21,265.41,401.66
227.81,348.80,75.21,75.21,265.41,386.40
212.55,364.06,75.21,75.21,250.15,401.66
243.07,364.06,75.21,75.21,280.67,401.66
243.07,425.10,75.21,75.21,280.67,462.70
227.81,409.84,75.21,75.21,265.41,447.44
212.55,394.58,75.21,75.21,250.15,432.18
212.55,364.06,75.21,75.21,250.15,401.66
197.29,348.80,75.21,75.21,234.89,386.40
197.29,319.37,75.21,75.21,234.89,356.97
197.29,288.85,75.21,75.21,234.89,326.45
197.29,258.33,75.21,75.21,234.89,295.93
197.29,243.07,75.21,75.21,234.89,280.67
288.85,409.84,75.21,75.21,326.45,447.44
333.54,394.58,75.21,75.21,371.14,432.18
379.32,364.06,75.21,75.21,416.92,401.66
409.84,333.54,75.21,75.21,447.44,371.14
425.10,304.11,75.21,75.21,462.70,341.71
440.36,258.33,75.21,75.21,477.96,295.93
455.62,212.55,75.21,75.21,493.22,250.15
455.62,182.03,75.21,75.21,493.22,219.63
