99,0
x,y,dx,dy,x_c,y_c
268.27,284.12,78.10,78.10,307.33,323.17
252.43,284.12,78.10,78.10,291.48,323.17
236.58,284.12,78.10,78.10,275.63,323.17
284.12,284.12,78.10,78.10,323.17,323.17
299.97,284.12,78.10,78.10,339.02,323.17
268.27,252.43,78.10,78.10,307.33,291.48
268.27,220.73,78.10,78.10,307.33,259.78
268.27,189.04,78.10,78.10,307.33,228.09
268.27,173.19,78.10,78.10,307.33,212.24
220.73,189.04,78.10,78.10,259.78,228.09
220.73,189.04,78.10,78.10,259.78,228.09
204.88,204.88,78.10,78.10,243.94,243.94
204.88,189.04,78.10,78.10,243.94,228.09
204.88,189.04,78.10,78.10,243.94,228.09
189.04,204.88,78.10,78.10,228.09,243.94
157.34,173.19,78.10,78.10,196.39,212.24
173.19,157.34,78.10,78.10,212.24,196.39
189.04,141.49,78.10,78.10,228.09,180.55
220.73,141.49,78.10,78.10,259.78,180.55
252.43,141.49,78.10,78.10,291.48,180.55
299.97,173.19,78.10,78.10,339.02,212.24
315.82,189.04,78.10,78.10,354.87,228.09
331.66,189.04,78.10,78.10,370.72,228.09
315.82,173.19,78.10,78.10,354.87,212.24
331.66,173.19,78.10,78.10,370.72,212.24
346.38,189.04,78.10,78.10,385.43,228.09
378.07,157.34,78.10,78.10,417.13,196.39
362.23,141.49,78.10,78.10,401.28,180.55
331.66,125.65,78.10,78.10,370.72,164.70
315.82,125.65,78.10,78.10,354.87,164.70
284.12,125.65,78.10,78.10,323.17,164.70
268.27,299.97,78.10,78.10,307.33,339.02
236.58,299.97,78.10,78.10,275.63,339.02
220.73,315.82,78.10,78.10,259.78,354.87
204.88,331.66,78.10,78.10,243.94,370.72
204.88,331.66,78.10,78.10,243.94,370.72
220.73,315.82,78.10,78.10,259.78,354.87
268.27,315.82,78.10,78.10,307.33,354.87
299.97,299.97,78.10,78.10,339.02,339.02
331.66,315.82,78.10,78.10,370.72,354.87
346.38,315.82,78.10,78.10,385.43,354.87
331.66,315.82,78.10,78.10,370.72,354.87
315.82,315.82,78.10,78.10,354.87,354.87
346.38,331.66,78.10,78.10,385.43,370.72
331.66,315.82,78.10,78.10,370.72,354.87
331.66,346.38,78.10,78.10,370.72,385.43
299.97,331.66,78.10,78.10,339.02,370.72
284.12,346.38,78.10,78.10,323.17,385.43
284.12,315.82,78.10,78.10,323.17,354.87
268.27,331.66,78.10,78.10,307.33,370.72
299.97,346.38,78.10,78.10,339.02,385.43
299.97,425.62,78.10,78.10,339.02,464.67
252.43,425.62,78.10,78.10,291.48,464.67
220.73,393.92,78.10,78.10,259.78,432.97
189.04,346.38,78.10,78.10,228.09,385.43
157.34,315.82,78.10,78.10,196.39,354.87
141.49,268.27,78.10,78.10,180.55,307.33
125.65,220.73,78.10,78.10,164.70,259.78
110.93,173.19,78.10,78.10,149.98,212.24
110.93,125.65,78.10,78.10,149.98,164.70
331.66,409.77,78.10,78.10,370.72,448.82
362.23,378.07,78.10,78.10,401.28,417.13
378.07,346.38,78.10,78.10,417.13,385.43
393.92,299.97,78.10,78.10,432.97,339.02
409.77,268.27,78.10,78.10,448.82,307.33
409.77,236.58,78.10,78.10,448.82,275.63
425.62,189.04,78.10,78.10,464.67,228.09
425.62,157.34,78.10,78.10,464.67,196.39
