82,15
x,y,dx,dy,x_c,y_c
121.00,152.00,29.00,29.00,135.50,166.50
121.00,152.00,29.00,29.00,135.50,166.50
115.00,152.00,29.00,29.00,129.50,166.50
121.00,152.00,29.00,29.00,135.50,166.50
127.00,152.00,29.00,29.00,141.50,166.50
121.00,139.00,29.00,29.00,135.50,153.50
121.00,133.00,29.00,29.00,135.50,147.50
127.00,121.00,29.00,29.00,141.50,135.50
133.00,109.00,29.00,29.00,147.50,123.50
115.00,109.00,29.00,29.00,129.50,123.50
109.00,109.00,29.00,29.00,123.50,123.50
103.00,109.00,29.00,29.00,117.50,123.50
109.00,103.00,29.00,29.00,123.50,117.50
103.00,103.00,29.00,29.00,117.50,117.50
97.00,109.00,29.00,29.00,111.50,123.50
85.00,91.00,29.00,29.00,99.50,105.50
91.00,85.00,29.00,29.00,105.50,99.50
97.00,85.00,29.00,29.00,111.50,99.50
103.00,85.00,29.00,29.00,117.50,99.50
109.00,85.00,29.00,29.00,123.50,99.50
158.00,115.00,29.00,29.00,172.50,129.50
164.00,115.00,29.00,29.00,178.50,129.50
170.00,115.00,29.00,29.00,184.50,129.50
164.00,109.00,29.00,29.00,178.50,123.50
170.00,109.00,29.00,29.00,184.50,123.50
176.00,115.00,29.00,29.00,190.50,129.50
194.00,103.00,29.00,29.00,208.50,117.50
188.00,97.00,29.00,29.00,202.50,111.50
176.00,91.00,29.00,29.00,190.50,105.50
164.00,91.00,29.00,29.00,178.50,105.50
152.00,97.00,29.00,29.00,166.50,111.50
121.00,158.00,29.00,29.00,135.50,172.50
121.00,158.00,29.00,29.00,135.50,172.50
115.00,164.00,29.00,29.00,129.50,178.50
109.00,170.00,29.00,29.00,123.50,184.50
115.00,170.00,29.00,29.00,129.50,184.50
121.00,164.00,29.00,29.00,135.50,178.50
121.00,164.00,29.00,29.00,135.50,178.50
133.00,158.00,29.00,29.00,147.50,172.50
139.00,164.00,29.00,29.00,153.50,178.50
146.00,170.00,29.00,29.00,160.50,184.50
139.00,170.00,29.00,29.00,153.50,184.50
127.00,164.00,29.00,29.00,141.50,178.50
139.00,176.00,29.00,29.00,153.50,190.50
133.00,164.00,29.00,29.00,147.50,178.50
133.00,170.00,29.00,29.00,147.50,184.50
127.00,164.00,29.00,29.00,141.50,178.50
121.00,176.00,29.00,29.00,135.50,190.50
121.00,164.00,29.00,29.00,135.50,178.50
115.00,176.00,29.00,29.00,129.50,190.50
127.00,176.00,29.00,29.00,141.50,190.50
139.00,206.00,29.00,29.00,153.50,220.50
127.00,200.00,29.00,29.00,141.50,214.50
115.00,194.00,29.00,29.00,129.50,208.50
109.00,182.00,29.00,29.00,123.50,196.50
97.00,170.00,29.00,29.00,111.50,184.50
91.00,158.00,29.00,29.00,105.50,172.50
85.00,146.00,29.00,29.00,99.50,160.50
85.00,133.00,29.00,29.00,99.50,147.50
85.00,121.00,29.00,29.00,99.50,135.50
158.00,200.00,29.00,29.00,172.50,214.50
170.00,194.00,29.00,29.00,184.50,208.50
188.00,182.00,29.00,29.00,202.50,196.50
200.00,176.00,29.00,29.00,214.50,190.50
212.00,164.00,29.00,29.00,226.50,178.50
218.00,152.00,29.00,29.00,232.50,166.50
224.00,139.00,29.00,29.00,238.50,153.50
224.00,127.00,29.00,29.00,238.50,141.50
